ID,WD_eng,WD_url
Abu Dhabi,Abu Dhabi,http://www.wikidata.org/entity/Q1519
Abuja,Abuja,http://www.wikidata.org/entity/Q3787
Accra,Accra,http://www.wikidata.org/entity/Q3761
Addis Ababa,Addis Ababa,http://www.wikidata.org/entity/Q3624
Aden,Aden,http://www.wikidata.org/entity/Q131694
Algiers,Algiers,http://www.wikidata.org/entity/Q3561
Amman,Amman,http://www.wikidata.org/entity/Q3805
Amsterdam,Amsterdam,http://www.wikidata.org/entity/Q727
Alofi,Alofi,http://www.wikidata.org/entity/Q30966
Andorra la Vella,Andorra la Vella,http://www.wikidata.org/entity/Q1863
Ankara,Ankara,http://www.wikidata.org/entity/Q3640
Antananarivo,Antananarivo,http://www.wikidata.org/entity/Q3915
Apia,Apia,http://www.wikidata.org/entity/Q36260
Ashgabat,Ashgabat,http://www.wikidata.org/entity/Q23438
Asmara,Asmara,http://www.wikidata.org/entity/Q3642
Asunción,Asunción,http://www.wikidata.org/entity/Q2933
Athens,Athens,http://www.wikidata.org/entity/Q1524
Baghdad,Baghdad,http://www.wikidata.org/entity/Q1530
Astana,Astana,http://www.wikidata.org/entity/Q1520
Avarua,Avarua,http://www.wikidata.org/entity/Q170482
Baku,Baku,http://www.wikidata.org/entity/Q9248
Bamako,Bamako,http://www.wikidata.org/entity/Q3703
Bandar Seri Begawan,Bandar Seri Begawan,http://www.wikidata.org/entity/Q9279
Bangkok,Bangkok,http://www.wikidata.org/entity/Q1861
Bangui,Bangui,http://www.wikidata.org/entity/Q3832
Banjul,Banjul,http://www.wikidata.org/entity/Q3726
Basseterre,Basseterre,http://www.wikidata.org/entity/Q41295
Beijing,Beijing,http://www.wikidata.org/entity/Q956
Beirut,Beirut,http://www.wikidata.org/entity/Q3820
Belgrade,,
Belmopan,,
Berlin,Berlin,http://www.wikidata.org/entity/Q64
Bern,Bern,http://www.wikidata.org/entity/Q70
Bishkek,Bishkek,http://www.wikidata.org/entity/Q9361
Bissau,Bissau,http://www.wikidata.org/entity/Q3739
Bogotá,Bogotá,http://www.wikidata.org/entity/Q2841
Bharatpur,Bharatpur,http://www.wikidata.org/entity/Q559834
Brasilia,Brasília,http://www.wikidata.org/entity/Q2844
Bratislava,Bratislava,http://www.wikidata.org/entity/Q1780
Brazzaville,Brazzaville,http://www.wikidata.org/entity/Q3844
Bloemfontein,Bloemfontein,http://www.wikidata.org/entity/Q37701
Bridgetown,,
Brussels,City of Brussels,http://www.wikidata.org/entity/Q239
Bucharest,Bucharest,http://www.wikidata.org/entity/Q19660
Budapest,Budapest,http://www.wikidata.org/entity/Q1781
Buenos Aires,Buenos Aires,http://www.wikidata.org/entity/Q1486
Cairo,Cairo,http://www.wikidata.org/entity/Q85
Canberra,Canberra,http://www.wikidata.org/entity/Q3114
Cape Town,Cape Town,http://www.wikidata.org/entity/Q5465
Caracas,Caracas,http://www.wikidata.org/entity/Q1533
Castries,Castries,http://www.wikidata.org/entity/Q41699
Chisinau,,
Colombo,Colombo,http://www.wikidata.org/entity/Q35381
Conakry,Conakry,http://www.wikidata.org/entity/Q3733
Copenhagen,Copenhagen,http://www.wikidata.org/entity/Q1748
Dakar,Dakar,http://www.wikidata.org/entity/Q3718
Damascus,Damascus,http://www.wikidata.org/entity/Q3766
Dhaka,Dhaka,http://www.wikidata.org/entity/Q1354
Dili,Dili,http://www.wikidata.org/entity/Q9310
Djibouti,Djibouti,http://www.wikidata.org/entity/Q3604
Dodoma,Dodoma,http://www.wikidata.org/entity/Q3866
Doha,Doha,http://www.wikidata.org/entity/Q3861
Dublin,Dublin,http://www.wikidata.org/entity/Q1761
Dushanbe,Dushanbe,http://www.wikidata.org/entity/Q9365
Freetown,Freetown,http://www.wikidata.org/entity/Q3780
Funafuti,Funafuti,http://www.wikidata.org/entity/Q34126
Gaborone,Gaborone,http://www.wikidata.org/entity/Q3919
Georgetown,Georgetown,http://www.wikidata.org/entity/Q10717
Gitega,Gitega,http://www.wikidata.org/entity/Q167551
Guatemala City,Guatemala City,http://www.wikidata.org/entity/Q1555
Hanoi,Hanoi,http://www.wikidata.org/entity/Q1858
