ID,WD_eng,WD_url
Acehnese,Acehnese,http://www.wikidata.org/entity/Q27683
Acholi,Acholi,http://www.wikidata.org/entity/Q34926
Adja,Adja,http://www.wikidata.org/entity/Q35035
Afar,Afar,http://www.wikidata.org/entity/Q27811
Afrikaans,Afrikaans,http://www.wikidata.org/entity/Q14196
Afroasiatic,Afroasiatic,http://www.wikidata.org/entity/Q25268
Akan,Akan,http://www.wikidata.org/entity/Q28026
Albanian,Albanian,http://www.wikidata.org/entity/Q8748
Alemannic,Alemannic,http://www.wikidata.org/entity/Q131339
Algerian Arabic,Algerian Arabic,http://www.wikidata.org/entity/Q56499
Alsatian,Alsatian,http://www.wikidata.org/entity/Q8786
American English,American English,http://www.wikidata.org/entity/Q7976
Amharic,Amharic,http://www.wikidata.org/entity/Q28244
Arabic,Arabic,http://www.wikidata.org/entity/Q13955
Armenian,Armenian,http://www.wikidata.org/entity/Q8785
Assamese,Assamese,http://www.wikidata.org/entity/Q29401
Austrian German,Austrian German,http://www.wikidata.org/entity/Q306626
Awadhi,Awadhi,http://www.wikidata.org/entity/Q29579
Aymara,Aymara,http://www.wikidata.org/entity/Q4627
Azerbaijani,Azerbaijani,http://www.wikidata.org/entity/Q9292
Bagheli,Bagheli,http://www.wikidata.org/entity/Q2356364
Bagri,Bagri,http://www.wikidata.org/entity/Q2426319
Balinese,Balinese,http://www.wikidata.org/entity/Q33070
Balochi,Balochi,http://www.wikidata.org/entity/Q33049
Bambara,Bambara,http://www.wikidata.org/entity/Q33243
Bangla,Bangla,http://www.wikidata.org/entity/Q9610
Banjar,Banjar,http://www.wikidata.org/entity/Q33151
Banyumasan Javanese,Banyumasan Javanese,http://www.wikidata.org/entity/Q33219
Baoulé,Baoulé,http://www.wikidata.org/entity/Q35107
Bashkir,Bashkir,http://www.wikidata.org/entity/Q13389
Bavarian,Bavarian,http://www.wikidata.org/entity/Q29540
Beja,Beja,http://www.wikidata.org/entity/Q33025
Belarusian,Belarusian,http://www.wikidata.org/entity/Q9091
Bemba,Bemba,http://www.wikidata.org/entity/Q33052
Bhili,Bhili,http://www.wikidata.org/entity/Q33229
Bhojpuri,Bhojpuri,http://www.wikidata.org/entity/Q33268
Bodo,Bodo,http://www.wikidata.org/entity/Q33223
Bokmål,Bokmål,http://www.wikidata.org/entity/Q25167
Bono,Bono,http://www.wikidata.org/entity/Q34831
Bouyei,Bouyei,http://www.wikidata.org/entity/Q35100
Brahui,Brahui,http://www.wikidata.org/entity/Q33202
Brazilian Sign Language,Brazilian Sign Language,http://www.wikidata.org/entity/Q3436689
Bugis,Bugis,http://www.wikidata.org/entity/Q33190
Bulgarian,Bulgarian,http://www.wikidata.org/entity/Q7918
Burmese,Burmese,http://www.wikidata.org/entity/Q9228
Cameroon Pidgin,Cameroon Pidgin,http://www.wikidata.org/entity/Q35541
Cantonese,Cantonese,http://www.wikidata.org/entity/Q9186
Catalan,Catalan,http://www.wikidata.org/entity/Q7026
Cebuano,Cebuano,http://www.wikidata.org/entity/Q33239
Central Atlas Tamazight,Central Atlas Tamazight,http://www.wikidata.org/entity/Q49741
Central Bikol,Central Bikol,http://www.wikidata.org/entity/Q33284
Central Pashto,Central Pashto,http://www.wikidata.org/entity/Q5061628
Chechen,Chechen,http://www.wikidata.org/entity/Q33350
Chewa,Chewa,http://www.wikidata.org/entity/Q33273
Chhattisgarhi,Chhattisgarhi,http://www.wikidata.org/entity/Q33158
Chinese,Chinese,http://www.wikidata.org/entity/Q7850
Chittagonian,Chittagonian,http://www.wikidata.org/entity/Q33173
Chuvash,Chuvash,http://www.wikidata.org/entity/Q33348
Ciamis Sundanese,Ciamis Sundanese,http://www.wikidata.org/entity/Q110276967
Congo Swahili,Congo Swahili,http://www.wikidata.org/entity/Q10961696
Croatian,Croatian,http://www.wikidata.org/entity/Q6654
Cusco Quechua,Cusco Quechua,http://www.wikidata.org/entity/Q35147
Czech,Czech,http://www.wikidata.org/entity/Q9056
Dagaare,Dagaare,http://www.wikidata.org/entity/Q35159
Dagbani,Dagbani,http://www.wikidata.org/entity/Q32238
