ID,WD_eng,WD_url
Afghanistan,Afghanistan,http://www.wikidata.org/entity/Q889
Albania,Albania,http://www.wikidata.org/entity/Q222
Algeria,Algeria,http://www.wikidata.org/entity/Q262
Andorra,Andorra,http://www.wikidata.org/entity/Q228
Angola,Angola,http://www.wikidata.org/entity/Q916
Antigua and Barbuda,Antigua and Barbuda,http://www.wikidata.org/entity/Q781
Argentina,Argentina,http://www.wikidata.org/entity/Q414
Armenia,Armenia,http://www.wikidata.org/entity/Q399
Aruba,Aruba,http://www.wikidata.org/entity/Q21203
Australia,Australia,http://www.wikidata.org/entity/Q408
Austria,,
Azerbaijan,Azerbaijan,http://www.wikidata.org/entity/Q227
Bahamas,,
Bahrain,Bahrain,http://www.wikidata.org/entity/Q398
Bangladesh,Bangladesh,http://www.wikidata.org/entity/Q902
Belarus,Belarus,http://www.wikidata.org/entity/Q184
Belgium,Belgium,http://www.wikidata.org/entity/Q31
Barbados,,
Benin,Benin,http://www.wikidata.org/entity/Q962
Bhutan,Bhutan,http://www.wikidata.org/entity/Q917
Bolivia,Bolivia,http://www.wikidata.org/entity/Q750
Belize,,
Bosnia and Herzegovina,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225
Botswana,Botswana,http://www.wikidata.org/entity/Q963
Brazil,Brazil,http://www.wikidata.org/entity/Q155
Brunei,Brunei,http://www.wikidata.org/entity/Q921
Bulgaria,Bulgaria,http://www.wikidata.org/entity/Q219
Burkina Faso,Burkina Faso,http://www.wikidata.org/entity/Q965
Burundi,Burundi,http://www.wikidata.org/entity/Q967
Cambodia,Cambodia,http://www.wikidata.org/entity/Q424
Cameroon,Cameroon,http://www.wikidata.org/entity/Q1009
Canada,Canada,http://www.wikidata.org/entity/Q16
Cape Verde,Cape Verde,http://www.wikidata.org/entity/Q1011
Central African Republic,Central African Republic,http://www.wikidata.org/entity/Q929
Chad,Chad,http://www.wikidata.org/entity/Q657
Chile,Chile,http://www.wikidata.org/entity/Q298
China,,
Colombia,Colombia,http://www.wikidata.org/entity/Q739
Comoros,Comoros,http://www.wikidata.org/entity/Q970
Cook Islands,Cook Islands,http://www.wikidata.org/entity/Q26988
Costa Rica,Costa Rica,http://www.wikidata.org/entity/Q800
Croatia,Croatia,http://www.wikidata.org/entity/Q224
Cuba,Cuba,http://www.wikidata.org/entity/Q241
Cyprus,Cyprus,http://www.wikidata.org/entity/Q229
Czech Republic,Czech Republic,http://www.wikidata.org/entity/Q213
Congo (Democratic Republic),Democratic Republic of the Congo,http://www.wikidata.org/entity/Q974
Denmark,Denmark,http://www.wikidata.org/entity/Q35
Djibouti,Djibouti,http://www.wikidata.org/entity/Q977
Dominica,Dominica,http://www.wikidata.org/entity/Q784
Dominican Republic,Dominican Republic,http://www.wikidata.org/entity/Q786
East Timor,East Timor,http://www.wikidata.org/entity/Q574
Ecuador,Ecuador,http://www.wikidata.org/entity/Q736
Egypt,Egypt,http://www.wikidata.org/entity/Q79
El Salvador,El Salvador,http://www.wikidata.org/entity/Q792
Equatorial Guinea,Guinea,http://www.wikidata.org/entity/Q1006
Eritrea,Eritrea,http://www.wikidata.org/entity/Q986
Estonia,Estonia,http://www.wikidata.org/entity/Q191
Ethiopia,Ethiopia,http://www.wikidata.org/entity/Q115
Eswatini,,
Federated States of Micronesia,Federated States of Micronesia,http://www.wikidata.org/entity/Q702
Fiji,Fiji,http://www.wikidata.org/entity/Q712
Finland,Finland,http://www.wikidata.org/entity/Q33
France,France,http://www.wikidata.org/entity/Q142
Gabon,Gabon,http://www.wikidata.org/entity/Q1000
Germany,Germany,http://www.wikidata.org/entity/Q183
Ghana,Ghana,http://www.wikidata.org/entity/Q117
Gambia,,
Georgia,,
Greece,Greece,http://www.wikidata.org/entity/Q41
Grenada,Grenada,http://www.wikidata.org/entity/Q769
Guatemala,Guatemala,http://www.wikidata.org/entity/Q774
Guinea-Bissau,Guinea-Bissau,http://www.wikidata.org/entity/Q1007
Guyana,Guyana,http://www.wikidata.org/entity/Q734
Haiti,,
Honduras,Honduras,http://www.wikidata.org/entity/Q783
Hungary,Hungary,http://www.wikidata.org/entity/Q28
Iceland,Iceland,http://www.wikidata.org/entity/Q189
India,India,http://www.wikidata.org/entity/Q668
Indonesia,Indonesia,http://www.wikidata.org/entity/Q252
Iran,Iran,http://www.wikidata.org/entity/Q794
Iraq,Iraq,http://www.wikidata.org/entity/Q796
Ireland,Ireland,http://www.wikidata.org/entity/Q27
Israel,Israel,http://www.wikidata.org/entity/Q801
Italy,Italy,http://www.wikidata.org/entity/Q38
Ivory Coast,Ivory Coast,http://www.wikidata.org/entity/Q1008
Jamaica,Jamaica,http://www.wikidata.org/entity/Q766
Japan,Japan,http://www.wikidata.org/entity/Q17
Jordan,Jordan,http://www.wikidata.org/entity/Q810
Kazakhstan,Kazakhstan,http://www.wikidata.org/entity/Q232
Kenya,Kenya,http://www.wikidata.org/entity/Q114
Kingdom of Denmark,Kingdom of Denmark,http://www.wikidata.org/entity/Q756617
Kingdom of the Netherlands,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q29999
Kiribati,,
Kuwait,,
Kosovo,Kosovo,http://www.wikidata.org/entity/Q1246
Kyrgyzstan,Kyrgyzstan,http://www.wikidata.org/entity/Q813
Laos,Laos,http://www.wikidata.org/entity/Q819
Latvia,Latvia,http://www.wikidata.org/entity/Q211
Lebanon,Lebanon,http://www.wikidata.org/entity/Q822
Lesotho,Lesotho,http://www.wikidata.org/entity/Q1013
Liberia,Liberia,http://www.wikidata.org/entity/Q1014
Libya,Libya,http://www.wikidata.org/entity/Q1016
Liechtenstein,Liechtenstein,http://www.wikidata.org/entity/Q347
Lithuania,Lithuania,http://www.wikidata.org/entity/Q37
Luxembourg,Luxembourg,http://www.wikidata.org/entity/Q32
Madagascar,Madagascar,http://www.wikidata.org/entity/Q1019
Malawi,Malawi,http://www.wikidata.org/entity/Q1020
Malaysia,Malaysia,http://www.wikidata.org/entity/Q833
Maldives,Maldives,http://www.wikidata.org/entity/Q826
Mali,Mali,http://www.wikidata.org/entity/Q912
Malta,Malta,http://www.wikidata.org/entity/Q233
Marshall Islands,,
Mauritania,Mauritania,http://www.wikidata.org/entity/Q1025
Mauritius,Mauritius,http://www.wikidata.org/entity/Q1027
Mexico,Mexico,http://www.wikidata.org/entity/Q96
Micronesia,,
Moldova,,
Monaco,,
Mongolia,Mongolia,http://www.wikidata.org/entity/Q711
Montenegro,Montenegro,http://www.wikidata.org/entity/Q236
Morocco,Morocco,http://www.wikidata.org/entity/Q1028
Mozambique,Mozambique,http://www.wikidata.org/entity/Q1029
Myanmar,Myanmar,http://www.wikidata.org/entity/Q836
Namibia,Namibia,http://www.wikidata.org/entity/Q1030
Nauru,Nauru,http://www.wikidata.org/entity/Q697
Nepal,Nepal,http://www.wikidata.org/entity/Q837
Netherlands,Netherlands,http://www.wikidata.org/entity/Q55
New Zealand,New Zealand,http://www.wikidata.org/entity/Q664
Nicaragua,Nicaragua,http://www.wikidata.org/entity/Q811
Niger,Niger,http://www.wikidata.org/entity/Q1032
Nigeria,Nigeria,http://www.wikidata.org/entity/Q1033
Niue,Niue,http://www.wikidata.org/entity/Q34020
North Korea,North Korea,http://www.wikidata.org/entity/Q423
North Macedonia,North Macedonia,http://www.wikidata.org/entity/Q221
Northern Cyprus,Northern Cyprus,http://www.wikidata.org/entity/Q23681
Norway,Norway,http://www.wikidata.org/entity/Q20
Oman,Oman,http://www.wikidata.org/entity/Q842
Pakistan,Pakistan,http://www.wikidata.org/entity/Q843
Palau,Palau,http://www.wikidata.org/entity/Q695
Palestine,,
Panama,,
Papua New Guinea,Papua New Guinea,http://www.wikidata.org/entity/Q691
Paraguay,Paraguay,http://www.wikidata.org/entity/Q733
People's Republic of China,People's Republic of China,http://www.wikidata.org/entity/Q148
Peru,Peru,http://www.wikidata.org/entity/Q419
Philippines,Philippines,http://www.wikidata.org/entity/Q928
Poland,Poland,http://www.wikidata.org/entity/Q36
Portugal,Portugal,http://www.wikidata.org/entity/Q45
Qatar,Qatar,http://www.wikidata.org/entity/Q846
Republic of Cuba,Republic of Cuba,http://www.wikidata.org/entity/Q14905932
Republic of the Congo,Republic of the Congo,http://www.wikidata.org/entity/Q971
Romania,Romania,http://www.wikidata.org/entity/Q218
Russia,Russia,http://www.wikidata.org/entity/Q159
Rwanda,Rwanda,http://www.wikidata.org/entity/Q1037
São Tomé and Príncipe,São Tomé and Príncipe,http://www.wikidata.org/entity/Q1039
Saint Kitts and Nevis,Saint Kitts and Nevis,http://www.wikidata.org/entity/Q763
Saint Lucia,Saint Lucia,http://www.wikidata.org/entity/Q760
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,http://www.wikidata.org/entity/Q757
Samoa,Samoa,http://www.wikidata.org/entity/Q683
San Marino,,
Sáo Tomé and Príncipe,,
Saudi Arabia,Saudi Arabia,http://www.wikidata.org/entity/Q851
Senegal,Senegal,http://www.wikidata.org/entity/Q1041
Serbia,,
Seychelles,Seychelles,http://www.wikidata.org/entity/Q1042
Sierra Leone,Sierra Leone,http://www.wikidata.org/entity/Q1044
Singapore,Singapore,http://www.wikidata.org/entity/Q334
Sint Maarten,Sint Maarten,http://www.wikidata.org/entity/Q26273
Slovakia,Slovakia,http://www.wikidata.org/entity/Q214
Slovenia,Slovenia,http://www.wikidata.org/entity/Q215
Solomon Islands,Solomon Islands,http://www.wikidata.org/entity/Q685
Somalia,Somalia,http://www.wikidata.org/entity/Q1045
South Africa,South Africa,http://www.wikidata.org/entity/Q258
South Korea,South Korea,http://www.wikidata.org/entity/Q884
South Sudan,South Sudan,http://www.wikidata.org/entity/Q958
Spain,Spain,http://www.wikidata.org/entity/Q29
Sri Lanka,Sri Lanka,http://www.wikidata.org/entity/Q854
State of Palestine,State of Palestine,http://www.wikidata.org/entity/Q219060
Sudan,Sudan,http://www.wikidata.org/entity/Q1049
Suriname,,
Sweden,Sweden,http://www.wikidata.org/entity/Q34
Switzerland,Switzerland,http://www.wikidata.org/entity/Q39
Syria,Syria,http://www.wikidata.org/entity/Q858
Taiwan,Taiwan,http://www.wikidata.org/entity/Q865
Tajikistan,Tajikistan,http://www.wikidata.org/entity/Q863
Tanzania,Tanzania,http://www.wikidata.org/entity/Q924
Thailand,Thailand,http://www.wikidata.org/entity/Q869
The Bahamas,The Bahamas,http://www.wikidata.org/entity/Q778
The Gambia,The Gambia,http://www.wikidata.org/entity/Q1005
Togo,Togo,http://www.wikidata.org/entity/Q945
Trinidad and Tobago,Trinidad and Tobago,http://www.wikidata.org/entity/Q754
Tonga,,
Tunisia,Tunisia,http://www.wikidata.org/entity/Q948
Turkey,Turkey,http://www.wikidata.org/entity/Q43
Turkmenistan,Turkmenistan,http://www.wikidata.org/entity/Q874
Tuvalu,Tuvalu,http://www.wikidata.org/entity/Q672
Ukraine,,
Tuvalu,Tuvalu,http://www.wikidata.org/entity/Q672
Uganda,Uganda,http://www.wikidata.org/entity/Q1036
United Arab Emirates,United Arab Emirates,http://www.wikidata.org/entity/Q878
United Kingdom,United Kingdom,http://www.wikidata.org/entity/Q145
United States,United States of America,http://www.wikidata.org/entity/Q30
Uruguay,Uruguay,http://www.wikidata.org/entity/Q77
Uzbekistan,Uzbekistan,http://www.wikidata.org/entity/Q265
Vanuatu,Vanuatu,http://www.wikidata.org/entity/Q686
Vatican City,Vatican City,http://www.wikidata.org/entity/Q237
Venezuela,Venezuela,http://www.wikidata.org/entity/Q717
Vietnam,Vietnam,http://www.wikidata.org/entity/Q881
Yemen,Yemen,http://www.wikidata.org/entity/Q805
Zambia,Zambia,http://www.wikidata.org/entity/Q953
Zimbabwe,Zimbabwe,http://www.wikidata.org/entity/Q954
