city,entity id,cityLabel_en,function name
http://www.wikidata.org/entity/Q1519,Q1519,Abu Dhabi,Q1519_Abu_Dhabi
http://www.wikidata.org/entity/Q3787,Q3787,Abuja,Q3787_Abuja
http://www.wikidata.org/entity/Q3761,Q3761,Accra,Q3761_Accra
http://www.wikidata.org/entity/Q3624,Q3624,Addis Ababa,Q3624_Addis_Ababa
http://www.wikidata.org/entity/Q131694,Q131694,Aden,Q131694_Aden
http://www.wikidata.org/entity/Q289618,Q289618,Al-Mansuriya,Q289618_Al_Mansuriya
http://www.wikidata.org/entity/Q3561,Q3561,Algiers,Q3561_Algiers
http://www.wikidata.org/entity/Q30966,Q30966,Alofi,Q30966_Alofi
http://www.wikidata.org/entity/Q3805,Q3805,Amman,Q3805_Amman
http://www.wikidata.org/entity/Q727,Q727,Amsterdam,Q727_Amsterdam
http://www.wikidata.org/entity/Q1863,Q1863,Andorra la Vella,Q1863_Andorra_la_Vella
http://www.wikidata.org/entity/Q3640,Q3640,Ankara,Q3640_Ankara
http://www.wikidata.org/entity/Q3915,Q3915,Antananarivo,Q3915_Antananarivo
http://www.wikidata.org/entity/Q36260,Q36260,Apia,Q36260_Apia
http://www.wikidata.org/entity/Q23438,Q23438,Ashgabat,Q23438_Ashgabat
http://www.wikidata.org/entity/Q3642,Q3642,Asmara,Q3642_Asmara
http://www.wikidata.org/entity/Q1520,Q1520,Astana,Q1520_Astana
http://www.wikidata.org/entity/Q2933,Q2933,Asunción,Q2933_Asuncion
http://www.wikidata.org/entity/Q1524,Q1524,Athens,Q1524_Athens
http://www.wikidata.org/entity/Q170482,Q170482,Avarua,Q170482_Avarua
http://www.wikidata.org/entity/Q1530,Q1530,Baghdad,Q1530_Baghdad
http://www.wikidata.org/entity/Q9248,Q9248,Baku,Q9248_Baku
http://www.wikidata.org/entity/Q3703,Q3703,Bamako,Q3703_Bamako
http://www.wikidata.org/entity/Q9279,Q9279,Bandar Seri Begawan,Q9279_Bandar_Seri_Begawan
http://www.wikidata.org/entity/Q1861,Q1861,Bangkok,Q1861_Bangkok
http://www.wikidata.org/entity/Q3832,Q3832,Bangui,Q3832_Bangui
http://www.wikidata.org/entity/Q3726,Q3726,Banjul,Q3726_Banjul
http://www.wikidata.org/entity/Q41295,Q41295,Basseterre,Q41295_Basseterre
http://www.wikidata.org/entity/Q956,Q956,Beijing,Q956_Beijing
http://www.wikidata.org/entity/Q3820,Q3820,Beirut,Q3820_Beirut
http://www.wikidata.org/entity/Q3711,Q3711,Belgrade,Q3711_Belgrade
http://www.wikidata.org/entity/Q3043,Q3043,Belmopan,Q3043_Belmopan
http://www.wikidata.org/entity/Q64,Q64,Berlin,Q64_Berlin
http://www.wikidata.org/entity/Q70,Q70,Bern,Q70_Bern
http://www.wikidata.org/entity/Q559834,Q559834,Bharatpur,Q559834_Bharatpur
http://www.wikidata.org/entity/Q9361,Q9361,Bishkek,Q9361_Bishkek
http://www.wikidata.org/entity/Q533087,Q533087,Bishnupur,Q533087_Bishnupur
http://www.wikidata.org/entity/Q3739,Q3739,Bissau,Q3739_Bissau
http://www.wikidata.org/entity/Q37701,Q37701,Bloemfontein,Q37701_Bloemfontein
http://www.wikidata.org/entity/Q2841,Q2841,Bogotá,Q2841_Bogota
http://www.wikidata.org/entity/Q2844,Q2844,Brasília,Q2844_Brasilia
http://www.wikidata.org/entity/Q1780,Q1780,Bratislava,Q1780_Bratislava
http://www.wikidata.org/entity/Q3844,Q3844,Brazzaville,Q3844_Brazzaville
http://www.wikidata.org/entity/Q36168,Q36168,Bridgetown,Q36168_Bridgetown
http://www.wikidata.org/entity/Q19660,Q19660,Bucharest,Q19660_Bucharest
http://www.wikidata.org/entity/Q1781,Q1781,Budapest,Q1781_Budapest
http://www.wikidata.org/entity/Q1486,Q1486,Buenos Aires,Q1486_Buenos_Aires
http://www.wikidata.org/entity/Q85,Q85,Cairo,Q85_Cairo
http://www.wikidata.org/entity/Q3114,Q3114,Canberra,Q3114_Canberra
http://www.wikidata.org/entity/Q5465,Q5465,Cape Town,Q5465_Cape_Town
http://www.wikidata.org/entity/Q1533,Q1533,Caracas,Q1533_Caracas
http://www.wikidata.org/entity/Q41699,Q41699,Castries,Q41699_Castries
http://www.wikidata.org/entity/Q21197,Q21197,Chișinău,Q21197_Chisinau
http://www.wikidata.org/entity/Q21711493,Q21711493,Christiania,Q21711493_Christiania
http://www.wikidata.org/entity/Q239,Q239,City of Brussels,Q239_City_of_Brussels
http://www.wikidata.org/entity/Q35381,Q35381,Colombo,Q35381_Colombo
http://www.wikidata.org/entity/Q3733,Q3733,Conakry,Q3733_Conakry
http://www.wikidata.org/entity/Q2449703,Q2449703,Coop of Brussels,Q2449703_Coop_of_Brussels
http://www.wikidata.org/entity/Q1748,Q1748,Copenhagen,Q1748_Copenhagen
http://www.wikidata.org/entity/Q3718,Q3718,Dakar,Q3718_Dakar
http://www.wikidata.org/entity/Q3766,Q3766,Damascus,Q3766_Damascus
http://www.wikidata.org/entity/Q1354,Q1354,Dhaka,Q1354_Dhaka
http://www.wikidata.org/entity/Q7003,Q7003,Dijon,Q7003_Dijon
http://www.wikidata.org/entity/Q9310,Q9310,Dili,Q9310_Dili
http://www.wikidata.org/entity/Q3604,Q3604,Djibouti,Q3604_Djibouti
