item,entity id,itemLabel_en,function name
http://www.wikidata.org/entity/Q889,Q889,Afghanistan,Q889_Afghanistan
http://www.wikidata.org/entity/Q222,Q222,Albania,Q222_Albania
http://www.wikidata.org/entity/Q262,Q262,Algeria,Q262_Algeria
http://www.wikidata.org/entity/Q228,Q228,Andorra,Q228_Andorra
http://www.wikidata.org/entity/Q916,Q916,Angola,Q916_Angola
http://www.wikidata.org/entity/Q781,Q781,Antigua and Barbuda,Q781_Antigua_and_Barbuda
http://www.wikidata.org/entity/Q414,Q414,Argentina,Q414_Argentina
http://www.wikidata.org/entity/Q399,Q399,Armenia,Q399_Armenia
http://www.wikidata.org/entity/Q21203,Q21203,Aruba,Q21203_Aruba
http://www.wikidata.org/entity/Q124535978,Q124535978,Ashkenaz,Q124535978_Ashkenaz
http://www.wikidata.org/entity/Q408,Q408,Australia,Q408_Australia
http://www.wikidata.org/entity/Q40,Q40,Austria,Q40_Austria
http://www.wikidata.org/entity/Q63135869,Q63135869,Ayyubid Sultanate,Q63135869_Ayyubid_Sultanate
http://www.wikidata.org/entity/Q227,Q227,Azerbaijan,Q227_Azerbaijan
http://www.wikidata.org/entity/Q398,Q398,Bahrain,Q398_Bahrain
http://www.wikidata.org/entity/Q902,Q902,Bangladesh,Q902_Bangladesh
http://www.wikidata.org/entity/Q244,Q244,Barbados,Q244_Barbados
http://www.wikidata.org/entity/Q184,Q184,Belarus,Q184_Belarus
http://www.wikidata.org/entity/Q31,Q31,Belgium,Q31_Belgium
http://www.wikidata.org/entity/Q242,Q242,Belize,Q242_Belize
http://www.wikidata.org/entity/Q962,Q962,Benin,Q962_Benin
http://www.wikidata.org/entity/Q854850,Q854850,Bharatpur State,Q854850_Bharatpur_State
http://www.wikidata.org/entity/Q917,Q917,Bhutan,Q917_Bhutan
http://www.wikidata.org/entity/Q750,Q750,Bolivia,Q750_Bolivia
http://www.wikidata.org/entity/Q225,Q225,Bosnia and Herzegovina,Q225_Bosnia_and_Herzegovina
http://www.wikidata.org/entity/Q963,Q963,Botswana,Q963_Botswana
http://www.wikidata.org/entity/Q155,Q155,Brazil,Q155_Brazil
http://www.wikidata.org/entity/Q921,Q921,Brunei,Q921_Brunei
http://www.wikidata.org/entity/Q219,Q219,Bulgaria,Q219_Bulgaria
http://www.wikidata.org/entity/Q965,Q965,Burkina Faso,Q965_Burkina_Faso
http://www.wikidata.org/entity/Q967,Q967,Burundi,Q967_Burundi
http://www.wikidata.org/entity/Q424,Q424,Cambodia,Q424_Cambodia
http://www.wikidata.org/entity/Q1009,Q1009,Cameroon,Q1009_Cameroon
http://www.wikidata.org/entity/Q16,Q16,Canada,Q16_Canada
http://www.wikidata.org/entity/Q1011,Q1011,Cape Verde,Q1011_Cape_Verde
