currency,entity id,currencyLabel_en,function name
http://www.wikidata.org/entity/Q125999,Q125999,Albanian lek,Q125999_Albanian_lek
http://www.wikidata.org/entity/Q199674,Q199674,Algerian dinar,Q199674_Algerian_dinar
http://www.wikidata.org/entity/Q199578,Q199578,Argentine convertible peso,Q199578_Argentine_convertible_peso
http://www.wikidata.org/entity/Q130498,Q130498,Armenian dram,Q130498_Armenian_dram
http://www.wikidata.org/entity/Q232270,Q232270,Aruban florin,Q232270_Aruban_florin
http://www.wikidata.org/entity/Q259502,Q259502,Australian dollar,Q259502_Australian_dollar
http://www.wikidata.org/entity/Q483725,Q483725,Azerbaijani manat,Q483725_Azerbaijani_manat
http://www.wikidata.org/entity/Q194339,Q194339,Bahamian dollar,Q194339_Bahamian_dollar
http://www.wikidata.org/entity/Q201871,Q201871,Bahraini dinar,Q201871_Bahraini_dinar
http://www.wikidata.org/entity/Q194453,Q194453,Bangladeshi taka,Q194453_Bangladeshi_taka
http://www.wikidata.org/entity/Q194351,Q194351,Barbadian dollar,Q194351_Barbadian_dollar
http://www.wikidata.org/entity/Q21531507,Q21531507,Belarusian ruble,Q21531507_Belarusian_ruble
http://www.wikidata.org/entity/Q275112,Q275112,Belize dollar,Q275112_Belize_dollar
http://www.wikidata.org/entity/Q186794,Q186794,Botswana pula,Q186794_Botswana_pula
http://www.wikidata.org/entity/Q173117,Q173117,Brazilian real,Q173117_Brazilian_real
http://www.wikidata.org/entity/Q206319,Q206319,Brunei dollar,Q206319_Brunei_dollar
http://www.wikidata.org/entity/Q172540,Q172540,Bulgarian lev,Q172540_Bulgarian_lev
http://www.wikidata.org/entity/Q238007,Q238007,Burundian franc,Q238007_Burundian_franc
http://www.wikidata.org/entity/Q214393,Q214393,CFP Franc,Q214393_CFP_Franc
http://www.wikidata.org/entity/Q1104069,Q1104069,Canadian dollar,Q1104069_Canadian_dollar
http://www.wikidata.org/entity/Q4591,Q4591,Cape Verdean escudo,Q4591_Cape_Verdean_escudo
http://www.wikidata.org/entity/Q847739,Q847739,Central African CFA franc,Q847739_Central_African_CFA_franc
http://www.wikidata.org/entity/Q200050,Q200050,Chilean peso,Q200050_Chilean_peso
http://www.wikidata.org/entity/Q19953480,Q19953480,Chūzan Tsūhō,Q19953480_Chuzan_Tsuho
http://www.wikidata.org/entity/Q244819,Q244819,Colombian peso,Q244819_Colombian_peso
http://www.wikidata.org/entity/Q267264,Q267264,Comorian franc,Q267264_Comorian_franc
http://www.wikidata.org/entity/Q4734,Q4734,Congolese franc,Q4734_Congolese_franc
http://www.wikidata.org/entity/Q507737,Q507737,Cook Islands dollar,Q507737_Cook_Islands_dollar
http://www.wikidata.org/entity/Q242915,Q242915,Costa Rican colón,Q242915_Costa_Rican_colon
http://www.wikidata.org/entity/Q201505,Q201505,Cuban peso,Q201505_Cuban_peso
http://www.wikidata.org/entity/Q131016,Q131016,Czech koruna,Q131016_Czech_koruna
http://www.wikidata.org/entity/Q25417,Q25417,Danish krone,Q25417_Danish_krone
http://www.wikidata.org/entity/Q572664,Q572664,Dirham,Q572664_Dirham
