language,entity id,languageLabel,function name
http://www.wikidata.org/entity/Q27683,Q27683,Acehnese,Q27683_Acehnese
http://www.wikidata.org/entity/Q34926,Q34926,Acholi,Q34926_Acholi
http://www.wikidata.org/entity/Q35035,Q35035,Adja,Q35035_Adja
http://www.wikidata.org/entity/Q27811,Q27811,Afar,Q27811_Afar
http://www.wikidata.org/entity/Q14196,Q14196,Afrikaans,Q14196_Afrikaans
http://www.wikidata.org/entity/Q25268,Q25268,Afroasiatic,Q25268_Afroasiatic
http://www.wikidata.org/entity/Q28026,Q28026,Akan,Q28026_Akan
http://www.wikidata.org/entity/Q8748,Q8748,Albanian,Q8748_Albanian
http://www.wikidata.org/entity/Q131339,Q131339,Alemannic,Q131339_Alemannic
http://www.wikidata.org/entity/Q56499,Q56499,Algerian Arabic,Q56499_Algerian_Arabic
http://www.wikidata.org/entity/Q8786,Q8786,Alsatian,Q8786_Alsatian
http://www.wikidata.org/entity/Q7976,Q7976,American English,Q7976_American_English
http://www.wikidata.org/entity/Q28244,Q28244,Amharic,Q28244_Amharic
http://www.wikidata.org/entity/Q3244184,Q3244184,Antiguan and Barbudan Creole,Q3244184_Antiguan_and_Barbudan_Creole
http://www.wikidata.org/entity/Q13955,Q13955,Arabic,Q13955_Arabic
http://www.wikidata.org/entity/Q8785,Q8785,Armenian,Q8785_Armenian
http://www.wikidata.org/entity/Q29401,Q29401,Assamese,Q29401_Assamese
http://www.wikidata.org/entity/Q306626,Q306626,Austrian German,Q306626_Austrian_German
http://www.wikidata.org/entity/Q29579,Q29579,Awadhi,Q29579_Awadhi
http://www.wikidata.org/entity/Q4627,Q4627,Aymara,Q4627_Aymara
http://www.wikidata.org/entity/Q9292,Q9292,Azerbaijani,Q9292_Azerbaijani
http://www.wikidata.org/entity/Q2356364,Q2356364,Bagheli,Q2356364_Bagheli
http://www.wikidata.org/entity/Q2426319,Q2426319,Bagri,Q2426319_Bagri
http://www.wikidata.org/entity/Q33070,Q33070,Balinese,Q33070_Balinese
http://www.wikidata.org/entity/Q33049,Q33049,Balochi,Q33049_Balochi
http://www.wikidata.org/entity/Q33243,Q33243,Bambara,Q33243_Bambara
http://www.wikidata.org/entity/Q9610,Q9610,Bangla,Q9610_Bangla
http://www.wikidata.org/entity/Q33151,Q33151,Banjar,Q33151_Banjar
http://www.wikidata.org/entity/Q33219,Q33219,Banyumasan Javanese,Q33219_Banyumasan_Javanese
http://www.wikidata.org/entity/Q35107,Q35107,Baoulé,Q35107_Baoule
http://www.wikidata.org/entity/Q13389,Q13389,Bashkir,Q13389_Bashkir
http://www.wikidata.org/entity/Q29540,Q29540,Bavarian,Q29540_Bavarian
http://www.wikidata.org/entity/Q33025,Q33025,Beja,Q33025_Beja
http://www.wikidata.org/entity/Q9091,Q9091,Belarusian,Q9091_Belarusian
http://www.wikidata.org/entity/Q33052,Q33052,Bemba,Q33052_Bemba
http://www.wikidata.org/entity/Q33229,Q33229,Bhili,Q33229_Bhili
http://www.wikidata.org/entity/Q33268,Q33268,Bhojpuri,Q33268_Bhojpuri
http://www.wikidata.org/entity/Q33223,Q33223,Bodo,Q33223_Bodo
http://www.wikidata.org/entity/Q25167,Q25167,Bokmål,Q25167_Bokmal
http://www.wikidata.org/entity/Q34831,Q34831,Bonol,Q34831_Bonol
http://www.wikidata.org/entity/Q35100,Q35100,Bouyei,Q35100_Bouyei
http://www.wikidata.org/entity/Q33202,Q33202,Brahui,Q33202_Brahui
http://www.wikidata.org/entity/Q3436689,Q3436689,Brazilian Sign Language,Q3436689_Brazilian_Sign_Language
http://www.wikidata.org/entity/Q33190,Q33190,Bugis,Q33190_Bugis
http://www.wikidata.org/entity/Q7918,Q7918,Bulgarian,Q7918_Bulgarian
http://www.wikidata.org/entity/Q9228,Q9228,Burmese,Q9228_Burmese
http://www.wikidata.org/entity/Q35541,Q35541,Cameroon Pidgin,Q35541_Cameroon_Pidgin
http://www.wikidata.org/entity/Q9186,Q9186,Cantonese,Q9186_Cantonese
http://www.wikidata.org/entity/Q7026,Q7026,Catalan,Q7026_Catalan
http://www.wikidata.org/entity/Q33239,Q33239,Cebuano,Q33239_Cebuano
http://www.wikidata.org/entity/Q49741,Q49741,Central Atlas Tamazight,Q49741_Central_Atlas_Tamazight
http://www.wikidata.org/entity/Q33284,Q33284,Central Bikol,Q33284_Central_Bikol
http://www.wikidata.org/entity/Q5061628,Q5061628,Central Pashto,Q5061628_Central_Pashto
http://www.wikidata.org/entity/Q33350,Q33350,Chechen,Q33350_Chechen
http://www.wikidata.org/entity/Q33273,Q33273,Chewa,Q33273_Chewa
http://www.wikidata.org/entity/Q33158,Q33158,Chhattisgarhi,Q33158_Chhattisgarhi
http://www.wikidata.org/entity/Q7850,Q7850,Chinese,Q7850_Chinese
http://www.wikidata.org/entity/Q33173,Q33173,Chittagonian,Q33173_Chittagonian
http://www.wikidata.org/entity/Q110276967,Q110276967,Ciamis Sundanese,Q110276967_Ciamis_Sundanese
http://www.wikidata.org/entity/Q10961696,Q10961696,Congo Swahili,Q10961696_Congo_Swahili
http://www.wikidata.org/entity/Q6654,Q6654,Croatian,Q6654_Croatian
http://www.wikidata.org/entity/Q35147,Q35147,Cusco Quechua,Q35147_Cusco_Quechua
http://www.wikidata.org/entity/Q9056,Q9056,Czech,Q9056_Czech
http://www.wikidata.org/entity/Q35159,Q35159,Dagaare,Q35159_Dagaare
http://www.wikidata.org/entity/Q32238,Q32238,Dagbani,Q32238_Dagbani
http://www.wikidata.org/entity/Q669431,Q669431,Daknī,Q669431_Dakni
http://www.wikidata.org/entity/Q9035,Q9035,Danish,Q9035_Danish
http://www.wikidata.org/entity/Q178440,Q178440,Dari,Q178440_Dari
http://www.wikidata.org/entity/Q5414796,Q5414796,Dholuo,Q5414796_Dholuo
http://www.wikidata.org/entity/Q633359,Q633359,Dhundari,Q633359_Dhundari
http://www.wikidata.org/entity/Q56466,Q56466,Dinka,Q56466_Dinka
http://www.wikidata.org/entity/Q32706,Q32706,Dioula,Q32706_Dioula
http://www.wikidata.org/entity/Q32730,Q32730,Dogri,Q32730_Dogri
http://www.wikidata.org/entity/Q35394,Q35394,Domari,Q35394_Domari
http://www.wikidata.org/entity/Q7411,Q7411,Dutch,Q7411_Dutch
http://www.wikidata.org/entity/Q36455,Q36455,Eastern Min,Q36455_Eastern_Min
http://www.wikidata.org/entity/Q12953177,Q12953177,Eastern Tamang,Q12953177_Eastern_Tamang
http://www.wikidata.org/entity/Q35375,Q35375,Edo,Q35375_Edo
http://www.wikidata.org/entity/Q35377,Q35377,Efik,Q35377_Efik
http://www.wikidata.org/entity/Q29919,Q29919,Egyptian Arabic,Q29919_Egyptian_Arabic
http://www.wikidata.org/entity/Q1057898,Q1057898,Emilian,Q1057898_Emilian
http://www.wikidata.org/entity/Q242648,Q242648,Emilian–Romagnol,Q242648_Emilian_Romagnol
http://www.wikidata.org/entity/Q1860,Q1860,English,Q1860_English
http://www.wikidata.org/entity/Q143,Q143,Esperanto,Q143_Esperanto
http://www.wikidata.org/entity/Q9072,Q9072,Estonian,Q9072_Estonian
http://www.wikidata.org/entity/Q30005,Q30005,Ewe,Q30005_Ewe
http://www.wikidata.org/entity/Q1412,Q1412,Finnish,Q1412_Finnish
http://www.wikidata.org/entity/Q33291,Q33291,Fon,Q33291_Fon
http://www.wikidata.org/entity/Q150,Q150,French,Q150_French
http://www.wikidata.org/entity/Q33454,Q33454,Fula,Q33454_Fula
http://www.wikidata.org/entity/Q9307,Q9307,Galician,Q9307_Galician
http://www.wikidata.org/entity/Q56323,Q56323,Gamo-Gofa-Dawro,Q56323_Gamo_Gofa_Dawro
http://www.wikidata.org/entity/Q33475,Q33475,Gan Chinese,Q33475_Gan_Chinese
http://www.wikidata.org/entity/Q33459,Q33459,Garhwali,Q33459_Garhwali
http://www.wikidata.org/entity/Q8108,Q8108,Georgian,Q8108_Georgian
http://www.wikidata.org/entity/Q188,Q188,German,Q188_German
http://www.wikidata.org/entity/Q5555465,Q5555465,Ghanaian Pidgin English,Q5555465_Ghanaian_Pidgin_English
http://www.wikidata.org/entity/Q33587,Q33587,Gikuyu,Q33587_Gikuyu
http://www.wikidata.org/entity/Q33657,Q33657,Gilaki,Q33657_Gilaki
http://www.wikidata.org/entity/Q5575236,Q5575236,Goan Konkani,Q5575236_Goan_Konkani
http://www.wikidata.org/entity/Q1775361,Q1775361,Gondi,Q1775361_Gondi
http://www.wikidata.org/entity/Q9129,Q9129,Greek,Q9129_Greek
http://www.wikidata.org/entity/Q5137,Q5137,Gujarati,Q5137_Gujarati
http://www.wikidata.org/entity/Q3111668,Q3111668,Gun,Q3111668_Gun
http://www.wikidata.org/entity/Q3510366,Q3510366,Hadhrami Arabic,Q3510366_Hadhrami_Arabic
http://www.wikidata.org/entity/Q934541,Q934541,Hainanese,Q934541_Hainanese
http://www.wikidata.org/entity/Q33491,Q33491,Haitian Creole,Q33491_Haitian_Creole
