language,entity id,languageLabel,function name,abstract line,eng concrete line,eng lexicon line
http://www.wikidata.org/entity/Q27683,Q27683,Acehnese,Q27683_Acehnese,Q27683_Acehnese : Language ;,Q27683_Acehnese = mkNP Acehnese_N ;,"Acehnese_N : N = mkN ""Acehnese"" ;"
http://www.wikidata.org/entity/Q34926,Q34926,Acholi,Q34926_Acholi,Q34926_Acholi : Language ;,Q34926_Acholi = mkNP Acholi_N ;,"Acholi_N : N = mkN ""Acholi"" ;"
http://www.wikidata.org/entity/Q35035,Q35035,Adja,Q35035_Adja,Q35035_Adja : Language ;,Q35035_Adja = mkNP Adja_N ;,"Adja_N : N = mkN ""Adja"" ;"
http://www.wikidata.org/entity/Q27811,Q27811,Afar,Q27811_Afar,Q27811_Afar : Language ;,Q27811_Afar = mkNP Afar_N ;,"Afar_N : N = mkN ""Afar"" ;"
http://www.wikidata.org/entity/Q14196,Q14196,Afrikaans,Q14196_Afrikaans,Q14196_Afrikaans : Language ;,Q14196_Afrikaans = mkNP Afrikaans_N ;,"Afrikaans_N : N = mkN ""Afrikaans"" ;"
http://www.wikidata.org/entity/Q25268,Q25268,Afroasiatic,Q25268_Afroasiatic,Q25268_Afroasiatic : Language ;,Q25268_Afroasiatic = mkNP Afroasiatic_N ;,"Afroasiatic_N : N = mkN ""Afroasiatic"" ;"
http://www.wikidata.org/entity/Q28026,Q28026,Akan,Q28026_Akan,Q28026_Akan : Language ;,Q28026_Akan = mkNP Akan_N ;,"Akan_N : N = mkN ""Akan"" ;"
http://www.wikidata.org/entity/Q8748,Q8748,Albanian,Q8748_Albanian,Q8748_Albanian : Language ;,Q8748_Albanian = mkNP Albanian_N ;,"Albanian_N : N = mkN ""Albanian"" ;"
http://www.wikidata.org/entity/Q131339,Q131339,Alemannic,Q131339_Alemannic,Q131339_Alemannic : Language ;,Q131339_Alemannic = mkNP Alemannic_N ;,"Alemannic_N : N = mkN ""Alemannic"" ;"
http://www.wikidata.org/entity/Q56499,Q56499,Algerian Arabic,Q56499_Algerian_Arabic,Q56499_Algerian_Arabic : Language ;,Q56499_Algerian_Arabic = mkNP Algerian_Arabic_N ;,"Algerian_Arabic_N : N = mkN ""Algerian Arabic"" ;"
http://www.wikidata.org/entity/Q8786,Q8786,Alsatian,Q8786_Alsatian,Q8786_Alsatian : Language ;,Q8786_Alsatian = mkNP Alsatian_N ;,"Alsatian_N : N = mkN ""Alsatian"" ;"
http://www.wikidata.org/entity/Q7976,Q7976,American English,Q7976_American_English,Q7976_American_English : Language ;,Q7976_American_English = mkNP American_English_N ;,"American_English_N : N = mkN ""American English"" ;"
http://www.wikidata.org/entity/Q28244,Q28244,Amharic,Q28244_Amharic,Q28244_Amharic : Language ;,Q28244_Amharic = mkNP Amharic_N ;,"Amharic_N : N = mkN ""Amharic"" ;"
http://www.wikidata.org/entity/Q3244184,Q3244184,Antiguan and Barbudan Creole,Q3244184_Antiguan_and_Barbudan_Creole,Q3244184_Antiguan_and_Barbudan_Creole : Language ;,Q3244184_Antiguan_and_Barbudan_Creole = mkNP Antiguan_and_Barbudan_Creole_N ;,"Antiguan_and_Barbudan_Creole_N : N = mkN ""Antiguan and Barbudan Creole"" ;"
http://www.wikidata.org/entity/Q13955,Q13955,Arabic,Q13955_Arabic,Q13955_Arabic : Language ;,Q13955_Arabic = mkNP Arabic_N ;,"Arabic_N : N = mkN ""Arabic"" ;"
http://www.wikidata.org/entity/Q8785,Q8785,Armenian,Q8785_Armenian,Q8785_Armenian : Language ;,Q8785_Armenian = mkNP Armenian_N ;,"Armenian_N : N = mkN ""Armenian"" ;"
http://www.wikidata.org/entity/Q29401,Q29401,Assamese,Q29401_Assamese,Q29401_Assamese : Language ;,Q29401_Assamese = mkNP Assamese_N ;,"Assamese_N : N = mkN ""Assamese"" ;"
http://www.wikidata.org/entity/Q306626,Q306626,Austrian German,Q306626_Austrian_German,Q306626_Austrian_German : Language ;,Q306626_Austrian_German = mkNP Austrian_German_N ;,"Austrian_German_N : N = mkN ""Austrian German"" ;"
http://www.wikidata.org/entity/Q29579,Q29579,Awadhi,Q29579_Awadhi,Q29579_Awadhi : Language ;,Q29579_Awadhi = mkNP Awadhi_N ;,"Awadhi_N : N = mkN ""Awadhi"" ;"
http://www.wikidata.org/entity/Q4627,Q4627,Aymara,Q4627_Aymara,Q4627_Aymara : Language ;,Q4627_Aymara = mkNP Aymara_N ;,"Aymara_N : N = mkN ""Aymara"" ;"
http://www.wikidata.org/entity/Q9292,Q9292,Azerbaijani,Q9292_Azerbaijani,Q9292_Azerbaijani : Language ;,Q9292_Azerbaijani = mkNP Azerbaijani_N ;,"Azerbaijani_N : N = mkN ""Azerbaijani"" ;"
http://www.wikidata.org/entity/Q2356364,Q2356364,Bagheli,Q2356364_Bagheli,Q2356364_Bagheli : Language ;,Q2356364_Bagheli = mkNP Bagheli_N ;,"Bagheli_N : N = mkN ""Bagheli"" ;"
http://www.wikidata.org/entity/Q2426319,Q2426319,Bagri,Q2426319_Bagri,Q2426319_Bagri : Language ;,Q2426319_Bagri = mkNP Bagri_N ;,"Bagri_N : N = mkN ""Bagri"" ;"
http://www.wikidata.org/entity/Q33070,Q33070,Balinese,Q33070_Balinese,Q33070_Balinese : Language ;,Q33070_Balinese = mkNP Balinese_N ;,"Balinese_N : N = mkN ""Balinese"" ;"
http://www.wikidata.org/entity/Q33049,Q33049,Balochi,Q33049_Balochi,Q33049_Balochi : Language ;,Q33049_Balochi = mkNP Balochi_N ;,"Balochi_N : N = mkN ""Balochi"" ;"
http://www.wikidata.org/entity/Q33243,Q33243,Bambara,Q33243_Bambara,Q33243_Bambara : Language ;,Q33243_Bambara = mkNP Bambara_N ;,"Bambara_N : N = mkN ""Bambara"" ;"
http://www.wikidata.org/entity/Q9610,Q9610,Bangla,Q9610_Bangla,Q9610_Bangla : Language ;,Q9610_Bangla = mkNP Bangla_N ;,"Bangla_N : N = mkN ""Bangla"" ;"
