city,cityLabel_en,cityDescription_en
http://www.wikidata.org/entity/Q1519,Abu Dhabi,capital city of the United Arab Emirates
http://www.wikidata.org/entity/Q3787,Abuja,capital city of Nigeria
http://www.wikidata.org/entity/Q3761,Accra,capital city of Ghana
http://www.wikidata.org/entity/Q3624,Addis Ababa,capital city of Ethiopia
http://www.wikidata.org/entity/Q131694,Aden,port city and temporary capital of Yemen
http://www.wikidata.org/entity/Q289618,Al-Mansuriya,"place in Tunisia, Ifriqiya"
http://www.wikidata.org/entity/Q3561,Algiers,capital city of Algeria
http://www.wikidata.org/entity/Q30966,Alofi,capital of Niue
http://www.wikidata.org/entity/Q3805,Amman,capital of Jordan
http://www.wikidata.org/entity/Q727,Amsterdam,capital and most populous city of the Netherlands
http://www.wikidata.org/entity/Q1863,Andorra la Vella,capital of Andorra
http://www.wikidata.org/entity/Q3640,Ankara,capital of Turkey
http://www.wikidata.org/entity/Q3915,Antananarivo,capital and largest city of Madagascar
http://www.wikidata.org/entity/Q36260,Apia,capital of Samoa
http://www.wikidata.org/entity/Q23438,Ashgabat,capital city of Turkmenistan
http://www.wikidata.org/entity/Q3642,Asmara,capital city of Eritrea
http://www.wikidata.org/entity/Q1520,Astana,capital of Kazakhstan
http://www.wikidata.org/entity/Q2933,Asunción,capital of Paraguay
http://www.wikidata.org/entity/Q1524,Athens,capital and largest city of Greece
http://www.wikidata.org/entity/Q170482,Avarua,capital city of the Cook Islands
http://www.wikidata.org/entity/Q1530,Baghdad,capital city of Iraq
http://www.wikidata.org/entity/Q9248,Baku,capital of Azerbaijan
http://www.wikidata.org/entity/Q3703,Bamako,capital of Mali
http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan,capital and largest city of Brunei
http://www.wikidata.org/entity/Q1861,Bangkok,capital of Thailand
http://www.wikidata.org/entity/Q3832,Bangui,capital city of the Central African Republic
http://www.wikidata.org/entity/Q3726,Banjul,capital of The Gambia
http://www.wikidata.org/entity/Q41295,Basseterre,capital of Saint Kitts and Nevis
http://www.wikidata.org/entity/Q956,Beijing,capital city of China
http://www.wikidata.org/entity/Q3820,Beirut,capital and largest city of Lebanon
http://www.wikidata.org/entity/Q3711,Belgrade,capital of Serbia
http://www.wikidata.org/entity/Q3043,Belmopan,capital of Belize
http://www.wikidata.org/entity/Q64,Berlin,"federated state, capital and largest city of Germany"
http://www.wikidata.org/entity/Q70,Bern,"city in Switzerland, capital of the canton of Bern and de facto capital of Switzerland"
http://www.wikidata.org/entity/Q559834,Bharatpur,"city in Rajasthan, India"
http://www.wikidata.org/entity/Q9361,Bishkek,capital of Kyrgyzstan
http://www.wikidata.org/entity/Q533087,Bishnupur,town in Bankura district
http://www.wikidata.org/entity/Q3739,Bissau,capital city of Guinea-Bissau
http://www.wikidata.org/entity/Q37701,Bloemfontein,judicial capital of South Africa
http://www.wikidata.org/entity/Q2841,Bogotá,capital city of Colombia
http://www.wikidata.org/entity/Q2844,Brasília,federal capital of Brazil
http://www.wikidata.org/entity/Q1780,Bratislava,capital city of Slovakia
http://www.wikidata.org/entity/Q3844,Brazzaville,capital of the Republic of the Congo
http://www.wikidata.org/entity/Q36168,Bridgetown,capital of Barbados
http://www.wikidata.org/entity/Q19660,Bucharest,capital and largest city of Romania
http://www.wikidata.org/entity/Q1781,Budapest,capital and largest city of Hungary
http://www.wikidata.org/entity/Q1486,Buenos Aires,capital and largest city of Argentina
http://www.wikidata.org/entity/Q85,Cairo,capital city of Egypt
http://www.wikidata.org/entity/Q3114,Canberra,capital city of Australia
http://www.wikidata.org/entity/Q5465,Cape Town,"city in the Western Cape, South Africa"
http://www.wikidata.org/entity/Q1533,Caracas,capital and largest city of Venezuela
http://www.wikidata.org/entity/Q41699,Castries,capital of Saint Lucia
http://www.wikidata.org/entity/Q21197,Chișinău,capital of Moldova
http://www.wikidata.org/entity/Q21711493,Christiania,"former name of Oslo, the capital of Norway (1624–1924)"
http://www.wikidata.org/entity/Q239,City of Brussels,municipality and capital city of Belgium
http://www.wikidata.org/entity/Q35381,Colombo,largest city and de facto capital of Sri Lanka
http://www.wikidata.org/entity/Q3733,Conakry,capital of Guinea
http://www.wikidata.org/entity/Q2449703,Coop of Brussels,area around medieval Brussels that were part of the City of Brussels
http://www.wikidata.org/entity/Q1748,Copenhagen,capital and largest city of Denmark
http://www.wikidata.org/entity/Q3718,Dakar,capital and the largest city of Senegal
http://www.wikidata.org/entity/Q3766,Damascus,capital and largest city of Syria
http://www.wikidata.org/entity/Q1354,Dhaka,capital and largest city of Bangladesh
http://www.wikidata.org/entity/Q7003,Dijon,"commune in Côte-d'Or, France"
http://www.wikidata.org/entity/Q9310,Dili,capital of East Timor
http://www.wikidata.org/entity/Q3604,Djibouti,capital city of Djibouti
http://www.wikidata.org/entity/Q3866,Dodoma,city and capital of Tanzania
http://www.wikidata.org/entity/Q3861,Doha,capital of Qatar
http://www.wikidata.org/entity/Q1761,Dublin,capital and largest city of Ireland
http://www.wikidata.org/entity/Q9365,Dushanbe,capital of Tajikistan
http://www.wikidata.org/entity/Q3780,Freetown,capital of Sierra Leone
http://www.wikidata.org/entity/Q34126,Funafuti,capital of Tuvalu
http://www.wikidata.org/entity/Q3919,Gaborone,capital city of Botswana
http://www.wikidata.org/entity/Q10717,Georgetown,capital city of Guyana
http://www.wikidata.org/entity/Q1410,Gibraltar,British overseas territory on the coast of Spain
http://www.wikidata.org/entity/Q167551,Gitega,capital of Burundi
http://www.wikidata.org/entity/Q5565130,Gitlaxt'aamiks,"Nisga'a village in British Columbia, Canada. Formerly New Aiyansh"
http://www.wikidata.org/entity/Q1555,Guatemala City,capital and largest city of the Republic of Guatemala
http://www.wikidata.org/entity/Q1858,Hanoi,capital of Vietnam
http://www.wikidata.org/entity/Q3921,Harare,capital and largest city of Zimbabwe
http://www.wikidata.org/entity/Q11409340,Harunotsuji Site,"archaeological site in Nagasaki, Japan"
http://www.wikidata.org/entity/Q1563,Havana,capital and largest city of Cuba
http://www.wikidata.org/entity/Q1757,Helsinki,capital and most populous city of Finland
http://www.wikidata.org/entity/Q40921,Honiara,"capital of Solomon Islands, on the tropical island Guadalcanal"
http://www.wikidata.org/entity/Q3322143,Huari,"village in Ancash, Peru"
http://www.wikidata.org/entity/Q1362,Islamabad,capital city of Pakistan
http://www.wikidata.org/entity/Q3630,Jakarta,capital city and smallest province of Indonesia
http://www.wikidata.org/entity/Q1218,Jerusalem,"city in the Middle East, holy to the three Abrahamic religions"
http://www.wikidata.org/entity/Q1947,Juba,capital of the Republic of South Sudan
http://www.wikidata.org/entity/Q5838,Kabul,capital and the largest city of Afghanistan
http://www.wikidata.org/entity/Q3894,Kampala,capital and the largest city of Uganda
http://www.wikidata.org/entity/Q3037,Kathmandu,capital of Nepal
http://www.wikidata.org/entity/Q1963,Khartoum,capital city of Sudan
http://www.wikidata.org/entity/Q3859,Kigali,capital of Rwanda
http://www.wikidata.org/entity/Q34692,Kingston,capital of Jamaica
http://www.wikidata.org/entity/Q41474,Kingstown,capital of Saint Vincent and the Grenadines
http://www.wikidata.org/entity/Q3838,Kinshasa,capital and the largest city of the Democratic Republic of the Congo
http://www.wikidata.org/entity/Q1865,Kuala Lumpur,federal territory and capital city of Malaysia
http://www.wikidata.org/entity/Q35178,Kuwait City,capital of Kuwait
http://www.wikidata.org/entity/Q1899,Kyiv,capital and largest city of Ukraine
http://www.wikidata.org/entity/Q4120832,Königsberg,historic capital of East Prussia
http://www.wikidata.org/entity/Q1491,La Paz,seat of government of Bolivia
http://www.wikidata.org/entity/Q60379482,Laugram,village in Bankura district
http://www.wikidata.org/entity/Q3825,Libreville,capital city of Gabon
http://www.wikidata.org/entity/Q3876,Lilongwe,capital of Malawi
http://www.wikidata.org/entity/Q2868,Lima,capital and largest city of Peru
http://www.wikidata.org/entity/Q597,Lisbon,capital city of Portugal
http://www.wikidata.org/entity/Q437,Ljubljana,capital city of Slovenia
http://www.wikidata.org/entity/Q101418,Lobamba,city in Eswatini
http://www.wikidata.org/entity/Q3792,Lomé,capital city of Togo
http://www.wikidata.org/entity/Q84,London,capital and largest city of England and the United Kingdom
http://www.wikidata.org/entity/Q3897,Luanda,capital of Angola
http://www.wikidata.org/entity/Q3881,Lusaka,capital of Zambia
http://www.wikidata.org/entity/Q1842,Luxembourg,capital and largest city of Luxembourg
http://www.wikidata.org/entity/Q2807,Madrid,municipality and capital of Spain
http://www.wikidata.org/entity/Q466054,Mahdia,"place in Mahdia Governorate, Tunisia"
http://www.wikidata.org/entity/Q12919,Majuro,capital of the Marshall Islands
http://www.wikidata.org/entity/Q3818,Malabo,capital of Equatorial Guinea
http://www.wikidata.org/entity/Q9347,Malé,capital of the Maldives
http://www.wikidata.org/entity/Q3274,Managua,capital of Nicaragua
http://www.wikidata.org/entity/Q3882,Manama,capital of Bahrain
http://www.wikidata.org/entity/Q1461,Manila,capital city of the Philippines
http://www.wikidata.org/entity/Q3889,Maputo,capital and chief port of Mozambique
http://www.wikidata.org/entity/Q3909,Maseru,capital of Lesotho
http://www.wikidata.org/entity/Q3904,Mbabane,capital of Eswatini
http://www.wikidata.org/entity/Q1489,Mexico City,capital and largest city of Mexico
http://www.wikidata.org/entity/Q5306051,Miccosukee,"unincorporated community in northeastern Leon County, Florida, USA"
http://www.wikidata.org/entity/Q2280,Minsk,capital and largest city of Belarus
http://www.wikidata.org/entity/Q2449,Mogadishu,capital and the largest city of Somalia
http://www.wikidata.org/entity/Q3748,Monrovia,capital city of Liberia
http://www.wikidata.org/entity/Q1335,Montevideo,capital and largest city of Uruguay
http://www.wikidata.org/entity/Q3901,Moroni,capital of Comoros
http://www.wikidata.org/entity/Q649,Moscow,capital and most populous city of Russia
http://www.wikidata.org/entity/Q3826,Muscat,capital of Oman
http://www.wikidata.org/entity/Q3659,N'Djamena,capital and largest city of Chad
http://www.wikidata.org/entity/Q3870,Nairobi,capital city of Kenya
http://www.wikidata.org/entity/Q2467,Nassau,capital city of the Commonwealth of the Bahamas
http://www.wikidata.org/entity/Q37400,Naypyidaw,capital city of Myanmar
http://www.wikidata.org/entity/Q987,New Delhi,capital city of India
http://www.wikidata.org/entity/Q515229,Ngerulmud,capital of Palau
http://www.wikidata.org/entity/Q3674,Niamey,capital of Niger
http://www.wikidata.org/entity/Q3856,Nicosia,Capital of Cyprus and Northern Cyprus (de facto)
http://www.wikidata.org/entity/Q3688,Nouakchott,capital of Mauritania
http://www.wikidata.org/entity/Q38834,Nukuʻalofa,capital city of Tonga
