currency,currencyLabel_en,currencyDescription_en
http://www.wikidata.org/entity/Q1049963,Kiribati dollar,currency
http://www.wikidata.org/entity/Q106720,North Korean won,official currency of the Democratic People's Republic of Korea
http://www.wikidata.org/entity/Q1104069,Canadian dollar,currency of Canada
http://www.wikidata.org/entity/Q11362550,Sekō Tsūhō,Ryukyuan money
http://www.wikidata.org/entity/Q11431840,Taise Tsūhō,Ryukyuan money
http://www.wikidata.org/entity/Q11573698,Ryūkyū Tsūhō,currency from Ryukyu
http://www.wikidata.org/entity/Q122922,Swedish krona,currency of Sweden
http://www.wikidata.org/entity/Q123213,złoty,currency of Poland
http://www.wikidata.org/entity/Q125999,Albanian lek,Albanian currency
http://www.wikidata.org/entity/Q130498,Armenian dram,currency
http://www.wikidata.org/entity/Q131016,Czech koruna,currency of the Czech Republic
http://www.wikidata.org/entity/Q131309,new shekel,currency of Israel and Palestine
http://www.wikidata.org/entity/Q131473,Icelandic króna,currency of Iceland
http://www.wikidata.org/entity/Q131645,Romanian Leu,currency of Romania
http://www.wikidata.org/entity/Q131723,bitcoin,digital cash system and associated currency
http://www.wikidata.org/entity/Q132643,Norwegian krone,currency of Norway
http://www.wikidata.org/entity/Q1472704,New Zealand dollar,currency of New Zealand
http://www.wikidata.org/entity/Q163712,Malaysian ringgit,official currency of Malaysia
http://www.wikidata.org/entity/Q171503,nakfa,currency of Eritrea
http://www.wikidata.org/entity/Q172524,Serbian dinar,Serbian currency
http://www.wikidata.org/entity/Q172540,Bulgarian lev,currency
http://www.wikidata.org/entity/Q172872,Turkish lira,currency of Turkey
http://www.wikidata.org/entity/Q173117,Brazilian real,Brazilian currency since 1994
http://www.wikidata.org/entity/Q173751,Kazakhstani tenge,currency of Kazakhstan
http://www.wikidata.org/entity/Q177875,North Macedonian denar,currency of North Macedonia
http://www.wikidata.org/entity/Q177882,baht,official currency of Thailand
http://www.wikidata.org/entity/Q179620,convertible mark,currency of Bosnia and Herzegovina
http://www.wikidata.org/entity/Q181129,Moldovan leu,currency
http://www.wikidata.org/entity/Q181907,rand,official currency of South Africa
http://www.wikidata.org/entity/Q182803,Zimbabwean dollar,"former currency of Zimbabwe, from 1980 to 2009"
http://www.wikidata.org/entity/Q183435,tugrik,currency of Mongolia
http://www.wikidata.org/entity/Q183530,Ghana cedi,currency of Ghana
http://www.wikidata.org/entity/Q184172,French franc,former currency of France
http://www.wikidata.org/entity/Q186794,Botswana pula,official currency of Botswana
http://www.wikidata.org/entity/Q188289,Pakistani rupee,currency
http://www.wikidata.org/entity/Q188608,Iranian rial,currency of Iran
http://www.wikidata.org/entity/Q190699,Libyan dinar,currency of Libya
http://www.wikidata.org/entity/Q190951,Singapore dollar,official currency of Singapore
http://www.wikidata.org/entity/Q191068,Faroese króna,currency
http://www.wikidata.org/entity/Q191830,dinar,currency of various countries
http://www.wikidata.org/entity/Q192090,Vietnamese đồng,official currency of Vietnam
http://www.wikidata.org/entity/Q193094,Iraqi dinar,official currency of Iraq
http://www.wikidata.org/entity/Q193098,Kuwaiti dinar,Currency of Kuwait
http://www.wikidata.org/entity/Q193712,São Tomé and Príncipe dobra,currency unit of the republic of São Tomé and Príncipe
http://www.wikidata.org/entity/Q194339,Bahamian dollar,monetary currency of the Bahamas
http://www.wikidata.org/entity/Q194351,Barbadian dollar,currency of Barbados
http://www.wikidata.org/entity/Q194453,Bangladeshi taka,currency of Bangladesh
http://www.wikidata.org/entity/Q199462,Egyptian pound,Official currency of Egypt
http://www.wikidata.org/entity/Q199471,afghani,currency of Afghanistan
http://www.wikidata.org/entity/Q19953480,Chūzan Tsūhō,Ryukyuan money of the Kingdom of Chūzan
http://www.wikidata.org/entity/Q19953495,Kin'en Yohō,Ryukyuan coins of Shō En king
http://www.wikidata.org/entity/Q199578,Argentine convertible peso,currency of Argentina since 1992
http://www.wikidata.org/entity/Q199674,Algerian dinar,currency
http://www.wikidata.org/entity/Q199857,Saudi riyal,currency of Saudi Arabia
http://www.wikidata.org/entity/Q199886,Tajikistani somoni,national currency of Tajikistan
http://www.wikidata.org/entity/Q200050,Chilean peso,currency of Chile
http://www.wikidata.org/entity/Q200055,Lao kip,currency of Laos since 1952
http://www.wikidata.org/entity/Q200192,Moroccan dirham,currency of Morocco
http://www.wikidata.org/entity/Q200294,United Arab Emirates dirham,currency
http://www.wikidata.org/entity/Q200337,kwanza,currency of Angola
http://www.wikidata.org/entity/Q200737,boliviano,currency of Bolivia
http://www.wikidata.org/entity/Q200753,Mozambican metical,currency
http://www.wikidata.org/entity/Q200759,kina,currency of Papua New Guinea
http://www.wikidata.org/entity/Q200979,Transnistrian ruble,currency of Transnistria
http://www.wikidata.org/entity/Q201505,Cuban peso,currency of Cuba
http://www.wikidata.org/entity/Q201799,ngultrum,Currency of Bhutan
http://www.wikidata.org/entity/Q201871,Bahraini dinar,currency of Bahrain
http://www.wikidata.org/entity/Q201875,kyat,currency of Myanmar
http://www.wikidata.org/entity/Q201880,Lebanese pound,official currency of Lebanon
http://www.wikidata.org/entity/Q202036,Surinamese dollar,currency of Suriname
http://www.wikidata.org/entity/Q202040,won,official currency of the Republic of Korea
http://www.wikidata.org/entity/Q202462,Namibian dollar,currency of Namibia
http://www.wikidata.org/entity/Q202882,Kenyan shilling,currency
http://www.wikidata.org/entity/Q202885,dalasi,currency of the Gambia
http://www.wikidata.org/entity/Q202895,Nepalese rupee,Currency of Nepal
http://www.wikidata.org/entity/Q203567,naira,currency of the Federal Republic of Nigeria
http://www.wikidata.org/entity/Q203607,guilder,monetary unit
http://www.wikidata.org/entity/Q203722,Jordanian dinar,currency
http://www.wikidata.org/entity/Q203955,gourde,currency of Haiti
http://www.wikidata.org/entity/Q204656,Nuevo sol,currency of Peru
http://www.wikidata.org/entity/Q204737,riel,currency of Cambodia
http://www.wikidata.org/entity/Q206243,bir,currency of Ethiopia
http://www.wikidata.org/entity/Q206319,Brunei dollar,monetary currency of the Sultanate of Brunei
http://www.wikidata.org/entity/Q206386,Qatari riyal,currency
http://www.wikidata.org/entity/Q206600,Maldivian rufiyaa,currency
http://www.wikidata.org/entity/Q207024,Mauritanian ouguiya,currency of Mauritania
http://www.wikidata.org/entity/Q207312,Nicaraguan córdoba,currency of Nicaragua
http://www.wikidata.org/entity/Q207396,quetzal,currency of Guatemala
http://www.wikidata.org/entity/Q207514,Paraguayan guaraní,currency
http://www.wikidata.org/entity/Q207523,Vanuatu vatus,currency
http://www.wikidata.org/entity/Q208039,loti,currency of Lesotho
http://www.wikidata.org/entity/Q208526,New Taiwan dollar,official currency of the Republic of China (Taiwan)
http://www.wikidata.org/entity/Q209272,Uruguayan peso,currency of Uruguay
http://www.wikidata.org/entity/Q209792,Jamaican dollar,currency of Jamaica
http://www.wikidata.org/entity/Q210472,Panamanian balboa,currency
http://www.wikidata.org/entity/Q211694,Malawian kwacha,currency of Malawi
http://www.wikidata.org/entity/Q212967,Mauritian rupee,currency of Mauritius
http://www.wikidata.org/entity/Q213005,Guyanese dollar,currency used in Guyana
http://www.wikidata.org/entity/Q213311,Guinean franc,currency
http://www.wikidata.org/entity/Q214393,CFP Franc,"currency used in the French overseas collectivities of French Polynesia, New Caledonia, and Wallis and Futuna"
http://www.wikidata.org/entity/Q21531507,Belarusian ruble,Belarusian currency since 2016
http://www.wikidata.org/entity/Q232270,Aruban florin,currency of Aruba
http://www.wikidata.org/entity/Q238007,Burundian franc,currency of Burundi
http://www.wikidata.org/entity/Q240468,Syrian pound,currency
http://www.wikidata.org/entity/Q240512,Yemeni Rial,Official currency of Yemen
http://www.wikidata.org/entity/Q242890,Trinidad and Tobago dollar,currency of Trinidad and Tobago
http://www.wikidata.org/entity/Q242915,Costa Rican colón,currency of Costa Rica
http://www.wikidata.org/entity/Q242922,Dominican peso,currency of the Dominican Republic
http://www.wikidata.org/entity/Q242988,Liberian dollar,currency of Liberia
http://www.wikidata.org/entity/Q244366,South Sudanese pound,official currency of the Republic of South Sudan
http://www.wikidata.org/entity/Q244819,Colombian peso,currency of Colombia
http://www.wikidata.org/entity/Q259502,Australian dollar,"official currency of Australia; also officially used in Kiribati, Nauru, and Tuvalu"
http://www.wikidata.org/entity/Q267264,Comorian franc,Comorian currency
http://www.wikidata.org/entity/Q271206,Sudanese pound,currency in Sudan
http://www.wikidata.org/entity/Q272290,Omani rial,currency
http://www.wikidata.org/entity/Q275112,Belize dollar,official currency of Belize
http://www.wikidata.org/entity/Q3867091,Korean mun,currency used in Joseon
http://www.wikidata.org/entity/Q4165057,Niue dollar,"currency used in Niue, at par with the New Zealand dollar; only coins issued, mostly for collectors"
http://www.wikidata.org/entity/Q483725,Azerbaijani manat,currency
http://www.wikidata.org/entity/Q486637,Turkmenistan new manat,currency of Turkmenistan
http://www.wikidata.org/entity/Q487888,Uzbekistani som,currency of Uzbekistan
http://www.wikidata.org/entity/Q507737,Cook Islands dollar,currency of the Cook Islands
http://www.wikidata.org/entity/Q522701,Netherlands Antillean guilder,currency of Kingdom of the Netherlands
http://www.wikidata.org/entity/Q56349362,sovereign bolivar,currency of Venezuela
http://www.wikidata.org/entity/Q572213,East Timor centavo coins,currency
http://www.wikidata.org/entity/Q572664,Dirham,unit of currency in several Arab and Islamic states
