area,areaLabel_en
http://www.wikidata.org/entity/Q15,Africa
http://www.wikidata.org/entity/Q18,South America
http://www.wikidata.org/entity/Q48,Asia
http://www.wikidata.org/entity/Q107323313,Australia and New Zealand
http://www.wikidata.org/entity/Q132959,Sub-Saharan Africa
http://www.wikidata.org/entity/Q143487,Arab world
http://www.wikidata.org/entity/Q18479603,Continental Central America
http://www.wikidata.org/entity/Q2218629,Arab states of the Arab Gulf
http://www.wikidata.org/entity/Q236118,Southern Cone
http://www.wikidata.org/entity/Q263686,Southeast Europe
http://www.wikidata.org/entity/Q2749444,South-West Europe
http://www.wikidata.org/entity/Q3359409,Micronesia
http://www.wikidata.org/entity/Q377916,Ibero-America
http://www.wikidata.org/entity/Q5317255,Dutch Caribbean
http://www.wikidata.org/entity/Q604496,Fennoscandia
http://www.wikidata.org/entity/Q664609,Caribbean
http://www.wikidata.org/entity/Q7569281,Southeast Africa
http://www.wikidata.org/entity/Q771405,South Asia
http://www.wikidata.org/entity/Q81483,Levant
http://www.wikidata.org/entity/Q11708,Southeast Asia
http://www.wikidata.org/entity/Q12585,Latin America
http://www.wikidata.org/entity/Q18869,Caucasus
http://www.wikidata.org/entity/Q21195,Scandinavia
http://www.wikidata.org/entity/Q23522,Balkans
http://www.wikidata.org/entity/Q23792,Palestine
http://www.wikidata.org/entity/Q27231,East Asia
http://www.wikidata.org/entity/Q27275,Central Asia
http://www.wikidata.org/entity/Q27293,West Asia
http://www.wikidata.org/entity/Q27381,North Africa
http://www.wikidata.org/entity/Q27394,Southern Africa
http://www.wikidata.org/entity/Q27407,East Africa
http://www.wikidata.org/entity/Q27433,Central Africa
http://www.wikidata.org/entity/Q27449,Southern Europe
http://www.wikidata.org/entity/Q27468,Eastern Europe
http://www.wikidata.org/entity/Q27479,Northern Europe
http://www.wikidata.org/entity/Q27496,Western Europe
http://www.wikidata.org/entity/Q27509,Central Europe
http://www.wikidata.org/entity/Q29876,Middle America
http://www.wikidata.org/entity/Q35942,Polynesia
http://www.wikidata.org/entity/Q37394,Melanesia
http://www.wikidata.org/entity/Q39731,Baltic states
http://www.wikidata.org/entity/Q43467,Mainland Southeast Asia
http://www.wikidata.org/entity/Q4412,West Africa
http://www.wikidata.org/entity/Q45256,Australasia
http://www.wikidata.org/entity/Q55643,Oceania
http://www.wikidata.org/entity/Q7204,Middle East
