area,areaLabel_en
http://www.wikidata.org/entity/Q9260,Tajik
http://www.wikidata.org/entity/Q33491,Haitian Creole
http://www.wikidata.org/entity/Q33655,Nigerian Pidgin
http://www.wikidata.org/entity/Q33954,Sango
http://www.wikidata.org/entity/Q110620923,Standard Indonesian
http://www.wikidata.org/entity/Q34159,Tok Pisin
http://www.wikidata.org/entity/Q35541,Cameroon Pidgin
http://www.wikidata.org/entity/Q35939,Jamaican Patois
http://www.wikidata.org/entity/Q143,Esperanto
http://www.wikidata.org/entity/Q150,French
http://www.wikidata.org/entity/Q56323,Gamo-Gofa-Dawro
http://www.wikidata.org/entity/Q56410,S'gaw Karen
http://www.wikidata.org/entity/Q56466,Dinka
http://www.wikidata.org/entity/Q56426,Moroccan Arabic
http://www.wikidata.org/entity/Q56503,Libyan Arabic
http://www.wikidata.org/entity/Q56508,Southern Thai
http://www.wikidata.org/entity/Q56483,Laki
http://www.wikidata.org/entity/Q56479,Jin
http://www.wikidata.org/entity/Q8108,Georgian
http://www.wikidata.org/entity/Q9240,Indonesian
http://www.wikidata.org/entity/Q256,Turkish
http://www.wikidata.org/entity/Q33475,Gan Chinese
http://www.wikidata.org/entity/Q33474,Lambadi
http://www.wikidata.org/entity/Q35147,Cusco Quechua
http://www.wikidata.org/entity/Q15065,Malaysian Malay / Malaysian
http://www.wikidata.org/entity/Q35159,Dagaare
http://www.wikidata.org/entity/Q35107,Baoulé
http://www.wikidata.org/entity/Q35100,Bouyei
http://www.wikidata.org/entity/Q33454,Fula
http://www.wikidata.org/entity/Q33459,Garhwali
http://www.wikidata.org/entity/Q9301,Serbo-Croatian
http://www.wikidata.org/entity/Q652,Italian
http://www.wikidata.org/entity/Q809,Polish
http://www.wikidata.org/entity/Q56601,Khams Tibetan
http://www.wikidata.org/entity/Q56593,Levantine Arabic
http://www.wikidata.org/entity/Q1321,Spanish
http://www.wikidata.org/entity/Q56583,Pu-Xian Min
http://www.wikidata.org/entity/Q56592,Saʽidi Arabic
http://www.wikidata.org/entity/Q56546,Huizhou Chinese
http://www.wikidata.org/entity/Q33522,Kabardian
http://www.wikidata.org/entity/Q727694,Standard Chinese
http://www.wikidata.org/entity/Q35172,Makonde
http://www.wikidata.org/entity/Q9237,Malay
http://www.wikidata.org/entity/Q33549,Javanese
http://www.wikidata.org/entity/Q33529,Kumaoni
http://www.wikidata.org/entity/Q1860,English
http://www.wikidata.org/entity/Q33902,Saraiki
http://www.wikidata.org/entity/Q33965,Santali
http://www.wikidata.org/entity/Q5218,Quechua
http://www.wikidata.org/entity/Q33730,Mapudungun
http://www.wikidata.org/entity/Q33673,Kannada
http://www.wikidata.org/entity/Q7737,Russian
http://www.wikidata.org/entity/Q33552,Kashmiri
http://www.wikidata.org/entity/Q33997,Sindhi
http://www.wikidata.org/entity/Q1412,Finnish
http://www.wikidata.org/entity/Q33973,Sicilian
http://www.wikidata.org/entity/Q5287,Japanese
http://www.wikidata.org/entity/Q33678,Mandinka
http://www.wikidata.org/entity/Q33823,Nepali
http://www.wikidata.org/entity/Q33786,Sidamo
http://www.wikidata.org/entity/Q33573,Kinyarwanda
http://www.wikidata.org/entity/Q33702,Kongo
http://www.wikidata.org/entity/Q33726,Khandeshi
http://www.wikidata.org/entity/Q34138,Tumbuka
http://www.wikidata.org/entity/Q34002,Sundanese
http://www.wikidata.org/entity/Q4627,Aymara
http://www.wikidata.org/entity/Q8097,Telugu
http://www.wikidata.org/entity/Q34152,Tachelhit
http://www.wikidata.org/entity/Q34239,Konkani
http://www.wikidata.org/entity/Q34057,Tagalog
http://www.wikidata.org/entity/Q33583,Kirundi
http://www.wikidata.org/entity/Q7838,Swahili
http://www.wikidata.org/entity/Q1571,Marathi
http://www.wikidata.org/entity/Q33882,Makhuwa
http://www.wikidata.org/entity/Q33879,Pangasinan
http://www.wikidata.org/entity/Q35936,Ilocano
http://www.wikidata.org/entity/Q5137,Gujarati
http://www.wikidata.org/entity/Q7411,Dutch
http://www.wikidata.org/entity/Q33587,Gikuyu
http://www.wikidata.org/entity/Q33728,Magahi
http://www.wikidata.org/entity/Q5885,Tamil
http://www.wikidata.org/entity/Q7913,Romanian
http://www.wikidata.org/entity/Q34311,Yoruba
http://www.wikidata.org/entity/Q34251,Tulu
http://www.wikidata.org/entity/Q34142,Tausug
http://www.wikidata.org/entity/Q8748,Albanian
http://www.wikidata.org/entity/Q36096,Mooré
http://www.wikidata.org/entity/Q36457,Northern Min
http://www.wikidata.org/entity/Q36455,Eastern Min
http://www.wikidata.org/entity/Q34340,Sesotho
http://www.wikidata.org/entity/Q7976,American English
http://www.wikidata.org/entity/Q34926,Acholi
