language,languageLabel,languageDescription
http://www.wikidata.org/entity/Q110620923,Standard Indonesian,the standard variety of Indonesian language
http://www.wikidata.org/entity/Q9260,Tajik,language spoken in Tajikistan
http://www.wikidata.org/entity/Q33491,Haitian Creole,language spoken in Haiti
http://www.wikidata.org/entity/Q143,Esperanto,international auxiliary language designed by L. L. Zamenhof
http://www.wikidata.org/entity/Q33954,Sango,Ngbandi-based creole of the Central African Republic
http://www.wikidata.org/entity/Q34159,Tok Pisin,English creole spoken in Papua New Guinea
http://www.wikidata.org/entity/Q35541,Cameroon Pidgin,language variety spoken in Cameroon
http://www.wikidata.org/entity/Q35939,Jamaican Patois,"English-based creole spoken in and around Jamaica; it additionally takes influence from various African languages, particularly Akan"
http://www.wikidata.org/entity/Q1860,English,West Germanic language
http://www.wikidata.org/entity/Q8108,Georgian,Kartvelian language
http://www.wikidata.org/entity/Q9237,Malay,"Austronesian macrolanguage, basis for Malaysian Malay and Indonesian"
http://www.wikidata.org/entity/Q9240,Indonesian,official language of Indonesia
http://www.wikidata.org/entity/Q9301,Serbo-Croatian,South Slavic language
http://www.wikidata.org/entity/Q35375,Edo,language spoken in Nigeria
http://www.wikidata.org/entity/Q36096,Mooré,Gur language spoken in Burkina Faso and neighbouring countries
http://www.wikidata.org/entity/Q35936,Ilocano,Austronesian language spoken by the native Ilocano people of the Philippines
http://www.wikidata.org/entity/Q35670,Lango,language
http://www.wikidata.org/entity/Q35379,Kam,"language of the Dong people, China"
http://www.wikidata.org/entity/Q35377,Efik,Cross River language spoken in Nigeria
http://www.wikidata.org/entity/Q35613,Northern Ndebele,"language belonging to the Nguni group of Bantu languages, one of the official languages of Zimbabwe"
http://www.wikidata.org/entity/Q727694,Standard Chinese,standard form of Chinese and the official language of China
http://www.wikidata.org/entity/Q36129,Nigerian Fulfulde,language of Nigeria
http://www.wikidata.org/entity/Q36121,Kapampangan,Austronesian language spoken in the Philippines
http://www.wikidata.org/entity/Q36660,Soninke,Mande language spoken in West Africa
http://www.wikidata.org/entity/Q56323,Gamo-Gofa-Dawro,language spoken in southern Ethiopia
http://www.wikidata.org/entity/Q36510,Modern Greek,dialects and varieties of the Greek language spoken in the modern era
http://www.wikidata.org/entity/Q36811,Sorani,Kurdish language spoken in Iraq and Iran
http://www.wikidata.org/entity/Q36663,Urhobo,language
http://www.wikidata.org/entity/Q36457,Northern Min,Chinese language
http://www.wikidata.org/entity/Q36486,Shilluk,language
http://www.wikidata.org/entity/Q36284,Serer,language spoken in Senegal and Gambia
http://www.wikidata.org/entity/Q36186,Maninka,Manding language of West Africa
http://www.wikidata.org/entity/Q36368,Kurdish,Western Iranian language
http://www.wikidata.org/entity/Q150,French,Romance language
