item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q114,Kenya,country in Eastern Africa
http://www.wikidata.org/entity/Q115,Ethiopia,country in the Horn of Africa
http://www.wikidata.org/entity/Q117,Ghana,country in West Africa
http://www.wikidata.org/entity/Q142,France,country in Western Europe
http://www.wikidata.org/entity/Q145,United Kingdom,country in north-west Europe
http://www.wikidata.org/entity/Q148,People's Republic of China,country in East Asia
http://www.wikidata.org/entity/Q155,Brazil,country in South America
http://www.wikidata.org/entity/Q159,Russia,country in Eastern Europe and Northern Asia
http://www.wikidata.org/entity/Q16,Canada,country in North America
http://www.wikidata.org/entity/Q17,Japan,island country in East Asia
http://www.wikidata.org/entity/Q183,Germany,country in Central Europe
http://www.wikidata.org/entity/Q184,Belarus,country in Eastern Europe
http://www.wikidata.org/entity/Q189,Iceland,Nordic island country in the North Atlantic Ocean
http://www.wikidata.org/entity/Q191,Estonia,country in Northern Europe
http://www.wikidata.org/entity/Q20,Norway,country in Northern Europe
http://www.wikidata.org/entity/Q211,Latvia,sovereign state in northeastern Europe
http://www.wikidata.org/entity/Q212,Ukraine,country in Eastern Europe
http://www.wikidata.org/entity/Q213,Czech Republic,country in Central Europe
http://www.wikidata.org/entity/Q214,Slovakia,country in Central Europe
http://www.wikidata.org/entity/Q215,Slovenia,country in Central Europe
http://www.wikidata.org/entity/Q217,Moldova,country in Eastern Europe
http://www.wikidata.org/entity/Q218,Romania,country in Southeast Europe
http://www.wikidata.org/entity/Q219,Bulgaria,country in Southeast Europe
http://www.wikidata.org/entity/Q221,North Macedonia,country in southeastern Europe
http://www.wikidata.org/entity/Q222,Albania,country in southeastern Europe
http://www.wikidata.org/entity/Q223,Greenland,autonomous country within the Kingdom of Denmark on several islands including world's largest island by the same name
http://www.wikidata.org/entity/Q224,Croatia,country in Central Europe
http://www.wikidata.org/entity/Q225,Bosnia and Herzegovina,country in Southeast Europe
http://www.wikidata.org/entity/Q227,Azerbaijan,country in the Caucasus in Eastern Europe and Western Asia
http://www.wikidata.org/entity/Q228,Andorra,"sovereign microstate between France and Spain, in Western Europe"
http://www.wikidata.org/entity/Q229,Cyprus,Mediterranean island nation in Europe
http://www.wikidata.org/entity/Q230,Georgia,country in the Caucasus
http://www.wikidata.org/entity/Q232,Kazakhstan,sovereign state in Eastern Europe and Central Asia
http://www.wikidata.org/entity/Q233,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
http://www.wikidata.org/entity/Q235,Monaco,sovereign city-state on the French Riviera
http://www.wikidata.org/entity/Q236,Montenegro,country in southeastern Europe
http://www.wikidata.org/entity/Q237,Vatican City,"Holy See's independent state, an enclave within Rome, Italy"
http://www.wikidata.org/entity/Q238,San Marino,"sovereign state in southern Europe, enclaved within Italy"
http://www.wikidata.org/entity/Q241,Cuba,sovereign state situated on an island in the Caribbean Sea
http://www.wikidata.org/entity/Q242,Belize,sovereign state in Central America
http://www.wikidata.org/entity/Q244,Barbados,island nation in the Caribbean
http://www.wikidata.org/entity/Q252,Indonesia,island country in Southeast Asia and Oceania
http://www.wikidata.org/entity/Q27,Ireland,country in Northwestern Europe
http://www.wikidata.org/entity/Q28,Hungary,country in Central Europe
http://www.wikidata.org/entity/Q29,Spain,country in southwestern Europe with territories in Africa
http://www.wikidata.org/entity/Q30,United States,country primarily located in North America
http://www.wikidata.org/entity/Q31,Belgium,country in western Europe
http://www.wikidata.org/entity/Q32,Luxembourg,country in Northwestern Europe
http://www.wikidata.org/entity/Q33,Finland,country in Northern Europe
http://www.wikidata.org/entity/Q34,Sweden,country in Northern Europe
http://www.wikidata.org/entity/Q35,Denmark,country in Northern Europe
http://www.wikidata.org/entity/Q36,Poland,country in Central Europe
http://www.wikidata.org/entity/Q37,Lithuania,country in northeastern Europe
http://www.wikidata.org/entity/Q38,Italy,country in Southern Europe
