item,entity id,itemLabel_en,function name
http://www.wikidata.org/entity/Q889,Q889,Afghanistan,Afghanistan
http://www.wikidata.org/entity/Q222,Q222,Albania,Albania
http://www.wikidata.org/entity/Q262,Q262,Algeria,Algeria
http://www.wikidata.org/entity/Q228,Q228,Andorra,Andorra
http://www.wikidata.org/entity/Q916,Q916,Angola,Angola
http://www.wikidata.org/entity/Q781,Q781,Antigua and Barbuda,Antigua_and_Barbuda
http://www.wikidata.org/entity/Q414,Q414,Argentina,Argentina
http://www.wikidata.org/entity/Q399,Q399,Armenia,Armenia
http://www.wikidata.org/entity/Q21203,Q21203,Aruba,Aruba
http://www.wikidata.org/entity/Q124535978,Q124535978,Ashkenaz,Ashkenaz
http://www.wikidata.org/entity/Q408,Q408,Australia,Australia
http://www.wikidata.org/entity/Q40,Q40,Austria,Austria
http://www.wikidata.org/entity/Q63135869,Q63135869,Ayyubid Sultanate,Ayyubid_Sultanate
http://www.wikidata.org/entity/Q227,Q227,Azerbaijan,Azerbaijan
http://www.wikidata.org/entity/Q398,Q398,Bahrain,Bahrain
http://www.wikidata.org/entity/Q902,Q902,Bangladesh,Bangladesh
http://www.wikidata.org/entity/Q244,Q244,Barbados,Barbados
http://www.wikidata.org/entity/Q184,Q184,Belarus,Belarus
http://www.wikidata.org/entity/Q31,Q31,Belgium,Belgium
http://www.wikidata.org/entity/Q242,Q242,Belize,Belize
http://www.wikidata.org/entity/Q962,Q962,Benin,Benin
http://www.wikidata.org/entity/Q854850,Q854850,Bharatpur State,Bharatpur_State
http://www.wikidata.org/entity/Q917,Q917,Bhutan,Bhutan
http://www.wikidata.org/entity/Q750,Q750,Bolivia,Bolivia
http://www.wikidata.org/entity/Q225,Q225,Bosnia and Herzegovina,Bosnia_and_Herzegovina
http://www.wikidata.org/entity/Q963,Q963,Botswana,Botswana
http://www.wikidata.org/entity/Q155,Q155,Brazil,Brazil
http://www.wikidata.org/entity/Q921,Q921,Brunei,Brunei
http://www.wikidata.org/entity/Q219,Q219,Bulgaria,Bulgaria
http://www.wikidata.org/entity/Q965,Q965,Burkina Faso,Burkina_Faso
http://www.wikidata.org/entity/Q967,Q967,Burundi,Burundi
http://www.wikidata.org/entity/Q424,Q424,Cambodia,Cambodia
http://www.wikidata.org/entity/Q1009,Q1009,Cameroon,Cameroon
http://www.wikidata.org/entity/Q16,Q16,Canada,Canada
http://www.wikidata.org/entity/Q1011,Q1011,Cape Verde,Cape_Verde
http://www.wikidata.org/entity/Q929,Q929,Central African Republic,Central_African_Republic
http://www.wikidata.org/entity/Q657,Q657,Chad,Chad
http://www.wikidata.org/entity/Q298,Q298,Chile,Chile
http://www.wikidata.org/entity/Q29520,Q29520,China,China
http://www.wikidata.org/entity/Q124153644,Q124153644,Chinland,Chinland
http://www.wikidata.org/entity/Q739,Q739,Colombia,Colombia
http://www.wikidata.org/entity/Q970,Q970,Comoros,Comoros
http://www.wikidata.org/entity/Q26988,Q26988,Cook Islands,Cook_Islands
http://www.wikidata.org/entity/Q800,Q800,Costa Rica,Costa_Rica
http://www.wikidata.org/entity/Q224,Q224,Croatia,Croatia
http://www.wikidata.org/entity/Q241,Q241,Cuba,Cuba
http://www.wikidata.org/entity/Q229,Q229,Cyprus,Cyprus
http://www.wikidata.org/entity/Q213,Q213,Czech Republic,Czech_Republic
http://www.wikidata.org/entity/Q974,Q974,Democratic Republic of the Congo,Democratic_Republic_of_the_Congo
http://www.wikidata.org/entity/Q35,Q35,Denmark,Denmark
http://www.wikidata.org/entity/Q977,Q977,Djibouti,Djibouti
http://www.wikidata.org/entity/Q784,Q784,Dominica,Dominica
http://www.wikidata.org/entity/Q786,Q786,Dominican Republic,Dominican_Republic
http://www.wikidata.org/entity/Q574,Q574,East Timor,East_Timor
http://www.wikidata.org/entity/Q736,Q736,Ecuador,Ecuador
http://www.wikidata.org/entity/Q79,Q79,Egypt,Egypt
http://www.wikidata.org/entity/Q792,Q792,El Salvador,El_Salvador
http://www.wikidata.org/entity/Q983,Q983,Equatorial Guinea,Equatorial_Guinea
http://www.wikidata.org/entity/Q986,Q986,Eritrea,Eritrea
http://www.wikidata.org/entity/Q191,Q191,Estonia,Estonia
http://www.wikidata.org/entity/Q1050,Q1050,Eswatini,Eswatini
http://www.wikidata.org/entity/Q115,Q115,Ethiopia,Ethiopia
http://www.wikidata.org/entity/Q4628,Q4628,Faroe Islands,Faroe_Islands
http://www.wikidata.org/entity/Q160307,Q160307,Fatimid Caliphate,Fatimid_Caliphate
http://www.wikidata.org/entity/Q16674377,Q16674377,Federal Islamic Republic of the Comoros,Federal_Islamic_Republic_of_the_Comoros
http://www.wikidata.org/entity/Q702,Q702,Federated States of Micronesia,Federated_States_of_Micronesia
http://www.wikidata.org/entity/Q712,Q712,Fiji,Fiji
http://www.wikidata.org/entity/Q33,Q33,Finland,Finland
http://www.wikidata.org/entity/Q129619467,Q129619467,First Republic of Seychelles,First_Republic_of_Seychelles
http://www.wikidata.org/entity/Q142,Q142,France,France
http://www.wikidata.org/entity/Q28406119,Q28406119,Free Republic of the Congo,Free_Republic_of_the_Congo
http://www.wikidata.org/entity/Q200686,Q200686,French Fifth Republic,French_Fifth_Republic
http://www.wikidata.org/entity/Q1000,Q1000,Gabon,Gabon
http://www.wikidata.org/entity/Q230,Q230,Georgia,Georgia
http://www.wikidata.org/entity/Q183,Q183,Germany,Germany
http://www.wikidata.org/entity/Q117,Q117,Ghana,Ghana
http://www.wikidata.org/entity/Q1410,Q1410,Gibraltar,Gibraltar
http://www.wikidata.org/entity/Q41,Q41,Greece,Greece
http://www.wikidata.org/entity/Q223,Q223,Greenland,Greenland
http://www.wikidata.org/entity/Q769,Q769,Grenada,Grenada
http://www.wikidata.org/entity/Q774,Q774,Guatemala,Guatemala
http://www.wikidata.org/entity/Q1006,Q1006,Guinea,Guinea
http://www.wikidata.org/entity/Q1007,Q1007,Guinea-Bissau,Guinea_Bissau
http://www.wikidata.org/entity/Q734,Q734,Guyana,Guyana
http://www.wikidata.org/entity/Q790,Q790,Haiti,Haiti
http://www.wikidata.org/entity/Q124536190,Q124536190,Havilah,Havilah
http://www.wikidata.org/entity/Q783,Q783,Honduras,Honduras
http://www.wikidata.org/entity/Q28,Q28,Hungary,Hungary
http://www.wikidata.org/entity/Q189,Q189,Iceland,Iceland
http://www.wikidata.org/entity/Q11352710,Q11352710,Ikikoku,Ikikoku
http://www.wikidata.org/entity/Q668,Q668,India,India
http://www.wikidata.org/entity/Q252,Q252,Indonesia,Indonesia
http://www.wikidata.org/entity/Q794,Q794,Iran,Iran
http://www.wikidata.org/entity/Q796,Q796,Iraq,Iraq
http://www.wikidata.org/entity/Q27,Q27,Ireland,Ireland
http://www.wikidata.org/entity/Q801,Q801,Israel,Israel
http://www.wikidata.org/entity/Q38,Q38,Italy,Italy
http://www.wikidata.org/entity/Q1008,Q1008,Ivory Coast,Ivory_Coast
http://www.wikidata.org/entity/Q766,Q766,Jamaica,Jamaica
http://www.wikidata.org/entity/Q17,Q17,Japan,Japan
http://www.wikidata.org/entity/Q810,Q810,Jordan,Jordan
http://www.wikidata.org/entity/Q232,Q232,Kazakhstan,Kazakhstan
http://www.wikidata.org/entity/Q114,Q114,Kenya,Kenya
http://www.wikidata.org/entity/Q126362486,Q126362486,Kerajaan Patipi,Kerajaan_Patipi
http://www.wikidata.org/entity/Q127861,Q127861,Khedivate of Egypt,Khedivate_of_Egypt
http://www.wikidata.org/entity/Q756617,Q756617,Kingdom of Denmark,Kingdom_of_Denmark
http://www.wikidata.org/entity/Q124943,Q124943,Kingdom of Egypt,Kingdom_of_Egypt
http://www.wikidata.org/entity/Q29999,Q29999,Kingdom of the Netherlands,Kingdom_of_the_Netherlands
http://www.wikidata.org/entity/Q710,Q710,Kiribati,Kiribati
http://www.wikidata.org/entity/Q18097,Q18097,Korea,Korea
http://www.wikidata.org/entity/Q1246,Q1246,Kosovo,Kosovo
http://www.wikidata.org/entity/Q817,Q817,Kuwait,Kuwait
http://www.wikidata.org/entity/Q813,Q813,Kyrgyzstan,Kyrgyzstan
http://www.wikidata.org/entity/Q819,Q819,Laos,Laos
http://www.wikidata.org/entity/Q211,Q211,Latvia,Latvia
http://www.wikidata.org/entity/Q822,Q822,Lebanon,Lebanon
http://www.wikidata.org/entity/Q1013,Q1013,Lesotho,Lesotho
